"All","Alle"
"Order # %1","Bestelling # %1"
"Outstanding Balance:","Openstaand saldo:"
"Available Credit:","Beschikbaar krediet:"
"Credit Limit:","Kredietlimiet:"
"Purchase Order Number","Inkoopordernummer"
"Charged off the company credit: %1","Afgeschreven van het bedrijfskrediet: %1"
"Purchase Order Number: %1","Inkoopordernummer: %1"
"The base currency for %1 has been updated. The currency %2 is still defined as the credit currency for one or more companies. Use the following <a href=""%3"" id=""update-credit-link"">link</a> to perform a bulk operation that updates the credit currency for those companies.","De basisvaluta voor %1 is bijgewerkt. De valuta %2 wordt nog steeds gedefinieerd als de kredietvaluta voor een of meer bedrijven. Gebruik de volgende <a href=""%3"" id=""update-credit-link"">link</a> om bulkbewerkingen uit te voeren die de kredietvaluta voor die bedrijven bewerkt."
"%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4.","%1 heeft zijn kredietlimiet (%2) met %3 overschreden. Het uitstaande saldo, inclusief deze bestelling, bedraagt momenteel %4."
"The credit limit for %1 is %2. Its outstanding balance, including this order, currently totals %3","Het kredietlimiet voor %1 is %2. Het uitstaande saldo, inclusief deze bestelling, bedraagt momenteel %3"
"Outstanding Balance","Uitstaande saldo"
"Available Credit","Beschikbaar krediet"
"Credit Limit","Kredietlimiet"
"Charged off the company credit","Afgeschreven van het bedrijfskrediet"
"The Company credit on all selected companies will be converted using the rate below. This operation cannot be undone.","Het bedrijfskrediet voor alle geselecteerde bedrijven zal worden omgezet met behulp van de onderstaande koers. Deze bewerking kan niet ongedaan worden gemaakt."
"Credit allocated to %company_name","Krediet toegekend aan %company_name"
"Dear %name,","Beste %name,"
"Your company has been allocated a credit of %available_credit.
    You can now use the Payment On Account method to place you orders.","Uw bedrijf heeft een krediet van %available_credit toegekend.
    U kunt nu gebruik maken van betaal op rekening om uw orders te plaatsen."
"The history of your credit operations is available on the Company Credit page.","De geschiedenis van uw krediet-transacties is beschikbaar op de pagina Bedrijfskrediet."
"%company_name account reimbursed","%company_name account terugbetaald"
"Your company credit account has been reimbursed by %reimbursed_amount.","Het bedrijfskrediet is terugbetaald met %reimbursed_amount."
"If you have any questions, please contact the seller.","Wanneer u vragen heeft kunt u contact opnemen met de verkoper."
"%company_name credit limit updated","%company_name kredietlimiet bijgewerkt"
"Your credit limit has been updated and is now %available_credit.
    Your outstanding balance currently totals %outstanding_balance. You are %exceed_limit to exceed the credit limit.","Uw kredietlimiet is bijgewerkt en is nu %available_credit.
     Uw openstaande saldo bedraagt momenteel %outstanding_balance. U bent %exceed_limit vandaan om de kredietlimiet te overschrijden."
"Order %order_id refunded","Bestelling %order_id terugbetaald"
"A refund of %refunded_amount has been issued on order #%order_id. This amount has been applied to the company credit.","Op bestelling #%order_id is een restitutie van %refunded_amount uitgekeerd. Dit bedrag is toegepast op het bedrijfskrediet."
"Order %order_id reverted","Bestelling %order_id teruggedraaid"
"Your order #%order_id has been cancelled. The order amount reverted to the company credit.","Uw bestelling #%order_id is geannuleerd. Het orderbedrag is teruggeplaatst naar het bedrijfskrediet."
"Available Credit","Beschikbaar krediet"
"Payment On Account cannot be used for this order because your order amount exceeds your credit amount.","Betaling op rekening kan niet worden toegepast voor deze bestelling, omdat het orderbedrag hoger is dan uw krediet."
"The Payment on Account method is not available in the selected currency. Please contact the seller.","Betaal op rekening is niet beschikbaar voor de geselecteerde valuta. Neem contact op met de verkoper."
"Company credit account will be charged:","Bedrijfskrediet wordt in rekening gebracht:"
"Place Order","Plaats bestelling"
"Cancel the Order","Annuleer bestelling"
"This is a required field.","Dit is een verplicht veld."
"Please enter a valid number in this field.","Voer a.u.b. een geldig getal in dit veld in."
"{oldCur}/{newCur} Rate","{oldCur}/{newCur} Koers"
"Reimburse","Vergoeden"
"Save","Opslaan"
"Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or slash (/) in this field.","Gebruik alleen letters (a-z of A-Z), cijfers (0-9), streepje (-) of schuine streep (/) in dit veld."
"The credit limit for %s is %s. It will be exceeded by %s with this order.","De kredietlimiet voor %s is %s. Bij deze bestelling wordt deze met %s overschreden."
"Payment on Account","Betaal op rekening"
"Enabled","Ingeschakeld"
"New Order Status","Nieuwe orderstatus"
"Sort Order","Sorteervolgorde"
"Title","Titel"
"Payment from Applicable Countries","Betaling vanuit de beschikbare landen"
"Payment from Specific Countries","Betaling van specifieke Landen"
"Minimum Order Total","Minimum orderbedrag"
"Maximum Order Total","Maximum orderbedrag"
"Company Credit Change Email Sender","Bedrijfskrediet wijziging E-mail afzender"
"Send Company Credit Change Email Copy To","Sttur Bedrijfskrediet wijzigen E-mail kopie naar"
"Comma-separated","Komma gescheiden"
"Send Email Copy Method","Verzend methode voor kopie van e-mail"
"Allocated Email Template","Toegewezen E-mail sjabloon"
"This email is sent to the Company Admin.","Deze e-mail wordt verzonden naar de bedrijfsbeheerder."
"Updated Email Template","Bijgewerkt E-mail sjabloon"
"Reimbursed Email Template","Terugbetaald E-mail sjabloon"
"Refunded Email Template","Teruggestort E-mail sjabloon"
"Reverted Email Template","Teruggekeerd E-mail sjabloon"
"View","Bekijk"
"Credit Currency","Kredietvaluta"
"Allow To Exceed Credit Limit","Toestaan kredietlimiet te overschrijden"
"Reason For Change","Reden voor wijziging"
"Amount","Bedrag"
"Limit one PO number per reimburse transaction","Beperk tot één PO-nummer per terugbetalingstransactie"
"Maximum 255 characters are allowed.","Maximaal 255 tekens zijn toegestaan."
"Comment","Opmerking"
"Rate","Koers"
"Convert Credit","Krediet converteren"
"Date","Datum"
"Operation","Bewerking"
"Updated By","Bijgewerkt op"
"Purchase Order","Inkooporder"
"You will be charged for","Wij incasseren een bedrag van"
"Order Total","Ordertotaal"
"All Payment Methods","Alle betaalmethodes"
"Specific Payment Methods","Specifieke betaalmethodes"
"B2B Payment Methods","B2B betaalmethodes"
"All Enabled Payment Methods","Alle ingeschakelde betaalmethodes"
"(disabled)","(uitgeschakeld)"
"Payment Information","Betaalgegevens"
"Available Payment Methods","Beschikbare betaalmethodes"
"This company has no payment methods. Please contact store administrator.","Dit bedrijf heeft geen betaalmethoden. Neem contact op met de winkelbeheerder."
"Default B2B Payment Methods","Standaard B2B betaalmethoden"
"Applicable Payment Methods","Toepasbare betaalmethoden"
"Payment Methods","Betaalmethodes"
"By default, the selected payment methods are available for all new companies. If your Magento site has multiple websites, on a specific website the buyer will be able to pay with the methods available for that website only.","Standaard zijn de geselecteerde betaalmethoden beschikbaar voor alle nieuwe bedrijven. Als uw Magento-site meerdere websites heeft, kan de koper op een specifieke website betalen met de methoden die alleen voor die website beschikbaar zijn."
"Payment Information (View)","Betaalgegevens (Bekijk)"
"Use config settings","Gebruik configuratie-instellingen"
"Default Config","Standaard configuratie"
"Save Config","Configuratie opslaan"
"[GLOBAL]","[GLOBAAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[WINKELAANZICHT]"
"Use system value","Gebruik systeemwaarde"
"Use Default","Gebruik standaard"
"Use Website","Website gebruiken"
"Add","Toevoegen"
"Delete File","Bestand verwijderen"
"Search String","Zoektekst"
"Design Theme","Ontwerpthema"
"Add \Exception","Uitzondering toevoegen"
"-- No Theme --","-- Geen thema --"
"Enable","Activeer"
"Disable","Deactiveer"
"Configuration","Configuratie"
"Class for type ""%1"" was not declared","Klasse voor type ""%1"" werd niet gedeclareerd"
"%1 should implement %2","%1 moet %2 implementeren"
"We can't save this option because Magento is not installed. To lock this value, enter the command again using the --%1 option.","Deze optie kan niet worden opgeslagen omdat Magento is niet geïnstalleerd. U kunt deze waarde vergrendelen door de opdracht opnieuw in te voeren met de--%1-optie."
"The value you set has already been locked. To change the value, use the --%1 option.","De waarde die u instelt is al vergrendeld. Om de waarde te wijzigen, gebruik de--%1-optie."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","Configuratie voor pad: ""%1"" bestaat niet"
"System","systeem"
"You saved the configuration.","U heeft de configuratie opgeslagen."
"Something went wrong while saving this configuration:","Er ging iets mis bij het opslaan van deze configuratie:"
"Page not found.","Pagina niet gevonden."
"Please specify the admin custom URL.","Geef de custom Admin-URL op."
"Invalid %1. %2","Ongeldige %1. %2"
"Value must be a URL or one of placeholders: %1","Ingevulde waarde moet een (tijdelijke) URL zijn: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Geef een URL of het pad dat begint met placeholder(s): %1, en eindigt met ""/""."
"%1 An empty value is allowed as well.","%1 een lege waarde is ook toegestaan."
"Specify a fully qualified URL.","Geef een volledig gekwalificeerde URL op."
"Selected allowed currency ""%1"" is not available in installed currencies.","Geselecteerde toegestane waarde ""%1"" is niet beschikbaar in geïnstalleerde waardens."
"Default display currency ""%1"" is not available in allowed currencies.","Standaard-valuta ""%1"" is niet beschikbaar in toegestane valuta."
"Sorry, we haven't installed the base currency you selected.","We hebben de basisvaluta niet geïnstalleerd die u geselecteerd heeft."
"We can't save the Cron expression.","We kunnen de Cron opdracht niet opslaan."
"Sorry, we haven't installed the default display currency you selected.","Sorry, het is niet gelukt om de standaard valuta welke u heeft geselecteerd in te stellen."
"Sorry, the default display currency you selected is not available in allowed currencies.","De standaard valuta weergave die u heeft geselecteerd is niet beschikbaar in de toegestane valuta's."
"Please correct the email address: ""%1"".","Corrigeer het e-mailadres: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","De afzender naam ""%1"" is niet geldig. Gebruik alleen zichtbare tekens en spaties."
"Maximum sender name length is 255. Please correct your settings.","Maximale afzender naam lengte is 255. Corrigeer uw instellingen."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Het bestand dat u uploadt overschrijdt de limiet van de server van %1 kilobytes."
"The base directory to upload file is not specified.","The base directory to upload file is not specified."
"The specified image adapter cannot be used because of: %1","De opgegeven afbeelding adapter kan niet gebruikt worden omwille van: %1"
"Default scope","Standaard-scope"
"Base currency","Basis-valuta"
"Display default currency","Standaardvaluta weergeven"
"website(%1) scope","scope website(%1)"
"store(%1) scope","scope winkel (%1)"
"Currency ""%1"" is used as %2 in %3.","Valuta ""%1"" wordt gebruikt als %2 in %3."
"Please correct the timezone.","Corrigeer de tijdzone."
"The file ""%1"" does not exist","Het bestand ""%1"" bestaat niet"
"The ""%1"" path does not exist","Het pad ""%1"" bestaat niet"
"Always (during development)","Altijd (tijdens ontwikkeling)"
"Only Once (version upgrade)","Eenmalig (versie upgrade)"
"Never (production)","Nooit (productie)"
"Bcc","Bcc (Blinde kopie)"
"Separate Email","Afzonderlijke e-mail"
"%1 (Default)","%1 (standaard)"
"title","titel"
"No","Nee"
"Optional","Optioneel"
"Required","Vereist"
"Website","Website"
"Store","Winkel"
"Store View","Winkelaanzicht"
"HTTP (unsecure)","HTTP (onveilig)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Ja (302 gevonden)"
"Yes (301 Moved Permanently)","Ja (301 Permanent verplaatst)"
"Yes","Ja"
"Specified","Gespecificeerd"
"Config form fieldset clone model required to be able to clone fields","Configuratie form fieldset clone model verplicht om velden te kunnen kopieren."
"%1: Instance of %2 is expected, got %3 instead","%1: Instance van %2 is verwacht, kreeg %3"
"Invalid XML in file %1:\n%2","Ongeldige XML in bestand %1:\n%2"
".","."
"'There is no defined type ' .","'Er is geen gedefinieerd type'."
"'Object is not instance of ' .","'Object is geen exemplaar van'."
"Filesystem is not writable.","Bestandssysteem is niet beschrijfbaar."
"Some error","Een zekere fout"
"Some message","Een zeker bericht"
"This command is unavailable right now.","Het commando is op dit moment niet beschikbaar."
"The ""test/test/test"" path does not exists","Het ""test/test/test""-pad bestaat niet"
"error message","foutmelding"
"some_label","some_label"
"some_comment","some_comment"
"some prefix","een voorvoegsel"
"element label","element label"
"element hint","element tip"
"element comment","element opmerking"
"element tooltip","element tooltip"
"test","test"
"test2","test2"
"Add after","Toevoegen na"
"Delete","Verwijder"
"Current Configuration Scope:","Scope huidige configuratie"
"Stores","Winkels"
"Group Label","Groep-Label"
"Some Label","Sommige labels"
"Tab Label","Tab Label"
"Allow everything","Alles toestaan"
"Magento Admin","Magento Admin"
"Dashboard","Dashboard"
"Manage Stores","Beheer Winkels"
"Field 2","Veld 2"
"Field 3","Veld 3"
"Field 3.1","Veld 3.1"
"Field 3.1.1","Veld 3.1.1"
"Field 4","Veld 4"
"Advanced Section","Geavanceerde sectie"
"Advanced Admin Section","Geavanceerde adminsectie"
"Design Section","Ontwerp sectie"
"General Section","Algemene sectie"
"System Section","Systeem sectie"
"Currency Setup Section","Valuta-instellingen sectie"
"Developer Section","Ontwerper sectie"
"Web Section","Web sectie"
"Store Email Addresses Section","Winkel E-mailadressen sectie"
"Email to a Friend","E-mail naar een vriend"
"Product with assigned super attributes should not have specified ""%1"" value","Product met toegewezen super attributen mag niet de opgegeven waarde ""%1"" bevatten"
"Add configurable attributes to the current Attribute Set (""%1"")","Configureerbare attributen toevoegen aan de huidige attributenset (""%1"")"
"Add configurable attributes to the new Attribute Set based on current","Voeg configureerbare attributen toe aan de nieuwe Attributenset gebaseerd op de huidige"
"New attribute set name","Naam nieuwe Attributenset"
"Add configurable attributes to the existing Attribute Set","Configureerbare attributen toevoegen aan de bestaande Attributenset"
"Choose existing Attribute Set","Kies bestaande Attributenset"
"Save","Opslaan"
"Save & New","Opslaan & Nieuw"
"Save & Duplicate","Opslaan & Dupliceren"
"Save & Close","Opslaan & Sluiten"
"Configurations","Configuraties"
"Attribute Values","Attribuut Waarden"
"Bulk Images &amp; Price","Afbeeldingen &amp; Prijzen"
"Create New Attribute","Nieuw attribuut aanmaken"
"Select Attributes","Selecteer Attributen"
"Summary","Samenvatting"
"Choose an Option...","Kies een optie..."
"This attribute is used in configurable products.","Deze attribuut wordt gebruikt in configureerbare producten."
"Product has been already attached","Product is al gekoppeld"
"Parent product does not have configurable product options","Bovenliggend product heeft geen configureerbare productopties"
"Child product does not have attribute value %1","Onderliggend product heeft geen attribuut waarde %1"
"Product with specified sku: %1 is not a configurable product","Product met opgegeven art.nr.: %1 is geen configureerbaar product"
"Requested option doesn't exist","Gevraagde optie bestaat niet"
"Requested option doesn't exist: %1","Gevraagde optie bestaat niet: %1"
"Cannot delete variations from product: %1","Variaties van product niet verwijderen: %1"
"Cannot delete option with id: %1","Kan de optie met id: %1 niet verwijderen"
"Option with id ""%1"" not found","Optie met id ""%1"" niet gevonden"
"Something went wrong while saving option.","Er ging iets mis bij het opslaan van de optie."
"Only implemented for configurable product: %1","Alleen geïmplementeerd voor configureerbaar product: %1"
"Option attribute ID is not specified.","Optie attribuut-ID is niet opgegeven."
"Option label is not specified.","Optie label wordt niet gespecificeerd."
"Option values are not specified.","Optiewaarden die zijn niet opgegeven."
"Value index is not specified for an option.","Waarde-index is niet opgegeven voor een optie."
"Product with id ""%1"" does not contain required attribute ""%2"".","Product met id ""%1"" bevat geen verplicht kenmerk ""%2""."
"Products ""%1"" and ""%2"" have the same set of attribute values.","Producten ""%1"" en ""%2"" hebben dezelfde set van attribuutwaarden."
"You can't add the item to shopping cart.","We kunnen het product niet toevoegen aan de winkelwagen."
"You need to choose options for your item.","Er zijn verplichte optie keuzes voor dit product."
"Some product variations fields are not valid.","Sommige product variaties velden zijn niet geldig."
"Configuration must have specified attributes","De configuratie moet specifieke attributen hebben"
"Type %1 is not an instance of %2","Type %1 is niet een instantie van %2"
"Choose Affected Attribute Set","Kies getroffen Attributenset"
"Add configurable attributes to the current Attribute Set","Configureerbare attributen toevoegen aan de huidige Attributenset"
"Confirm","Bevestigen"
"New Attribute Set Name","Naam nieuwe attributenset"
"Select Associated Product","Selecteer bijbehorende product"
"Done","Klaar"
"Choose a new product to delete and replace the current product configuration.","Kies een nieuw product om te verwijderen en vervang de huidige productconfiguratie."
"For better results, add attributes and attribute values to your products.","Voor betere resultaten, voeg attributen en attribuut waarden to aan uw producten."
"Configurable products allow customers to choose options (Ex: shirt color). You need to create a simple product for each configuration (Ex: a product for each color).","Configureerbare producten geeft klanten de mogelijkheid om opties selecteren (Bv. T-shirt kleur). U moet een simpel-product aanmaken voor elke configuratie (Bv. een product voor elke kleur)."
"Configurations cannot be created for a standard product with downloadable files. To create configurations, first remove all downloadable files.","Configuraties kunnen niet worden aangemaakt voor een product met downloadbare bestanden. Om configuraties te maken moet u eerst alle downloadbare bestanden verwijderen."
"Add Products Manually","Handmatig toevoegen van producten"
"Create Configurations","Configuraties aanmaken"
"Current Variations","Huidige Variaties"
"Image","Beeld"
"Name","Naam"
"SKU","Art.nr."
"Price","Prijs"
"Quantity","Aantal"
"Weight","Gewicht"
"Status","Status"
"Attributes","Attributen"
"Actions","acties"
"Custom options with price type ""percent"" is not available for configurable product.","Custom opties met prijs-soort ""percentage"" is niet beschikbaar voor configureerbare producten."
"This group contains attributes used in configurable products. Please move these attributes to another group and try again.","Deze groep bevat attributen die gebruikt worden in configureerbare producten. Verplaats deze attributen naar een andere groep en probeer opnieuw."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Dit attribuut wordt gebruikt in configureerbare producten. U kunt het niet van de attributenset verwijderen."
"Associated Products","Gerelateerde producten"
"Step 2: Attribute Values","Stap 2: Kenmerkwaarden"
"Select values from each attribute to include in this product. Each unique combination of values creates a unique product SKU.","Selecteer waarden van elk attribuut om deze op te nemen in dit product. Elke unieke combinatie van waarden creëert een uniek art.nr."
"Sort Variations","Sorteer variaties"
"Options","Opties"
"Select All","Alles selecteren"
"Deselect All","Alles deselecteren"
"Remove Attribute","Verwijder Attribuut"
"Save Option","Optie opslaan"
"Remove Option","Optie Verwijderen"
"Create New Value","Maak een nieuwe waarde"
"Step 3: Bulk Images, Price and Quantity","Stap 3: Bulk afbeeldingen, Prijs en Aantal"
"Based on your selections %1 new products will be created. Use this step to customize images and price for your new products.","Op basis van uw selectie worden %1 nieuwe product aangemaakt. Gebruikt deze stap om afbeeldingen en prijzen voor de nieuwe producten in te stellen."
"Images","Afbeeldingen"
"Apply single set of images to all SKUs","Pas één set van afbeeldingen toe op alle art.nrs."
"Apply unique images by attribute to each SKU","Pas unieke afbeeldingen toe door attributen op elk art.nr."
"Skip image uploading at this time","Sla afbeelding uploaden op dit moment over"
"Browse Files...","Blader door bestanden..."
"Browse to find or drag image here","Bladeren om de afbeelding te vinden of sleep de afbeelding hierheen"
"Remove image","Verwijder afbeelding"
"Hidden","Verborgen"
"Alt Text","Alt-tekst"
"Role","Rol"
"Image Size","Afbeeldingsgrootte"
"{size}","{size}"
"Image Resolution","Afbeeldingresolutie"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","Verbergen van product pagina"
"Select attribute","Selecteer attribuut"
"Select","Selecteer"
"Apply single price to all SKUs","Prijs toepassen op alle art.nrs."
"Apply unique prices by attribute to each SKU","Pas unieke prijzen toe door attribuut op elk art.nr."
"Skip price at this time","Sla prijzen op dit moment over"
"Apply single quantity to each SKUs","Pas enkele aantal toe op elke SKU"
"Apply unique quantity by attribute to each SKU","Apart aantal toepassen per attribuut voor elk Art.nr."
"Skip quantity at this time","Sla aantal over voor dit moment"
"Step 1: Select Attributes","Stap 1: Selecteer Attributen"
"Selected Attributes:","Geselecteerde Attributen:"
"Step 4: Summary","Stap 4: Samenvatting"
"Configurable products allow customers to choose options (Ex: shirt color).
            You need to create a simple product for each configuration (Ex: a product for each color).","Configureerbare producten klanten toestaan om te kiezen van de opties (Ex: shirt kleur). U moet een een simpel product aanmaken voor elke configuratie (Ex: een product voor elke kleur)."
"Edit Configurations","Configuraties bewerken"
"Upload Image","Upload afbeeldingen"
"Upload image","Upload afbeelding"
"No Image","Geen afbeelding"
"Choose a different Product","Kies een ander Product"
"Remove Product","Product verwijderen"
"Create Product Configurations","Productconfiguraties aanmaken"
"Cancel","Annuleer"
"Special Price","Speciale prijs"
"Regular Price","Normale prijs"
"New Product Review","Nieuwe Productreview"
"Here are the products you're about to create.","Overzicht van de producten die u gaat aanmaken."
"You created these products for this configuration.","Deze producten zijn aangemaakt voor deze configuratie."
"Disassociated Products","Niet-gekoppelde producten"
"These products are not associated.","Deze producten zijn niet gekoppeld."
"Disable Product","Product uitschakelen"
"Enable Product","Product inschakelen"
"Incl. Tax","Incl. Belasting"
"An attribute has been removed. This attribute will no longer appear in your configurations.","Een attribuut is verwijderd. Dit attribuut zal niet langer worden weergegeven in uw configuraties."
"Select options for all attributes or remove unused attributes.","Selecteer opties voor alle attributen of verwijder ongebruikte attributen."
"Choose this option to delete and replace extension data for all past configurations.","Kies deze optie om extension-data voor alle historische configuraties te verwijderen en te vervangen."
"Please select attribute for {section} section.","Gelieve het attribuut te selecteren voor sectie {section}."
"Please fill in the values for {section} section.","Gelieve de waarden voor sectie {section} in te vullen."
"Please fill-in correct values.","Vul correcte waarden in."
"Please select image(s) for your attribute.","Selecteer afbeelding(en) voor uw attribuut."
"Please choose image(s).","Kies afbeelding(en)."
"We could not detect a size.","We kunnen geen grootte detecteren."
"We don't recognize or support this file extension type.","We herkennen of ondersteunen dit bestandsformaat type niet."
"When you remove or add an attribute, we automatically update all configurations and you will need to recreate current configurations manually.","Wanneer u een kenmerk verwijdert of toevoegt, updaten wij automatisch alle configuraties en u moet de huidige configuraties handmatig herstellen."
"Please select attribute(s).","Selecteer attribute(n)."
"Generate Products","Genereer Producten"
"Something went wrong.","Er ging iets mis."
"Buy %1 for %2 each and","Koop %1 voor %2 per stuk en"
"save","bewaar"
"Configurable Product Image","Afbeelding configureerbaar product"
"Select...","Selecteer..."
"ID","ID"
"Thumbnail","Thumbnail"
"Attribute Code","Attribuutcode"
"Attribute Label","Attribuutlabel"
"Required","Vereist"
"System","systeem"
"Visible","Zichtbaar"
"Scope","Bereik"
"Searchable","Doorzoekbaar"
"Comparable","Vergelijkbaar"
"Save","Opslaan"
"Select...","Selecteer..."
"Status","Status"
"ID","ID"
"Thumbnail","Thumbnail"
"Name","Naam"
"SKU","Art.nr."
"Price","Prijs"
"Quantity","Aantal"
"Weight","Gewicht"
"Attributes","Attributen"
"Attribute Code","Attribuutcode"
"Attribute Label","Attribuutlabel"
"Required","Vereist"
"System","Systeem"
"Visible","Zichtbaar"
"Scope","Bereik"
"Searchable","Doorzoekbaar"
"Comparable","Vergelijkbaar"
"Page not found.","Pagina niet gevonden."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Bedankt dat u contact met ons opnam. U kunt spoedig op ons antwoord rekenen."
"An error occurred while processing your form. Please try again later.","Er ging iets mis tijdens het verwerken van uw formulier. Probeer het later nog eens."
"Name is missing","Naam ontbreekt"
"Comment is missing","Opmerking ontbreekt"
"Invalid email address","Ongeldig e-mailadres"
"* Required Fields","* Verplichte velden"
"Write Us","Neem contact met ons op"
"Jot us a note and we’ll get back to you as quickly as possible.","Laat een vraag of opmerking achter en wij zullen hier zo spoedig mogelijk op terugkomen."
"Name","Naam"
"Email","E-mail"
"Phone Number","Telefoonnummer"
"What’s on your mind?","Wat is uw vraag?"
"Submit","Bevestig"
"Contact Form","Contactformulier"
"Name: %name","Naam: %name"
"Email: %email","E-mailadres: %email"
"Phone Number: %telephone","Telefoonnummer: %telephone"
"Comment: %comment","Reactie: %comment"
"Contacts Section","Contact sectie"
"Contacts","Contacten"
"Contact Us","Mail ons"
"Enable Contact Us","‘Mail ons’ inschakelen"
"Email Options","E-mail opties"
"Send Emails To","E-mails versturen aan"
"Email Sender","E-mail Afzender"
"Email Template","E-mail template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
"Invalid domain name: %1","Ongeldige domeinnaam: %1"
"Invalid cookie lifetime: %1","Ongeldige cookie-levensduur: %1"
"Invalid cookie path","Ongeldig cookiepad"
"We use cookies to make your experience better.","Wij gebruiken cookies om uw ervaring beter te maken."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Om te voldoen aan de cookie wetgeving, vragen we uw toestemming om de cookies te plaatsen."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Meer informatie</a>."
"Allow Cookies","Cookies toestaan"
"Default Cookie Settings","Standaard Cookie-instellingen"
"Cookie Lifetime","Cookie levensduur"
"Cookie Path","Cookie Pad"
"Cookie Domain","Cookie Domein"
"Use HTTP Only","Alleen HTTP gebruiken"
"Cookie Restriction Mode","Cookie restrictiemodus"
"We can't save the cron expression.","We kunnen de Cron opdracht niet opslaan."
"Daily","Dagelijks"
"Weekly","Wekelijks"
"Monthly","Maandelijks"
"Invalid cron expression: %1","Ongeldige cron expressie: %1"
"Invalid cron expression, expecting 'match/modulus': %1","Ongeldige cron expressie, verwacht wordt ' match/modulus': %1"
"Invalid cron expression, expecting numeric modulus: %1","Ongeldige cron expressie, verwacht wordt een numerieke modulus: %1"
"Invalid cron expression, expecting 'from-to' structure: %1","Ongeldige cron expressie, verwacht wordt ' van-naar ' structuur: %1"
"Some error","Een fout"
"Invalid callback: Not_Existed_Class::execute can't be called","Ongeldige callback: Not_Existed_Class::execute kan worden aangeroepen"
"Test exception","Text exception"
"Cron (Scheduled Tasks)","Cron (Geplande taken)"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set. All the times are in minutes.","Om correcte URL's te genereren tijdens cron, zorg er voor dat Web > Veilige en onbeveiligde Base URL's expliciet zijn ingesteld. Alle tijden zijn in minuten."
"Cron configuration options for group:","Cron configuratie-opties voor groep:"
"Generate Schedules Every","Maak planningen elke"
"Schedule Ahead for","Planning vooruit maken voor"
"Missed if Not Run Within","Gemist als niet uitgevoerd binnen"
"History Cleanup Every","Geschiedenis opruimen elke"
"Success History Lifetime","Success history lifetime"
"Failure History Lifetime","Failure history lifetime"
"Use Separate Process","Gebruik afzonderlijk proces"
"Save Currency Rates","Wisselkoersen opslaan"
"Options","Opties"
"Reset","Reset"
"Import","Import"
"Manage Currency Rates","Beheer Wisselkoersen"
"Import Service","Service importeren"
"Save Currency Symbols","Sla valuta symbolen op"
"Currency Symbols","Valutasymbolen"
"Use Standard","Gebruik standaard"
"Please specify a correct Import Service.","Geef een juiste Import Service op."
"We can't initialize the import model.","We kunnen het importmodel niet initialiseren."
"Click ""Save"" to apply the rates we found.","Klik op ""Opslaan"" om de gevonden koersen toe te passen."
"Currency Rates","Wisselkoersen"
"Please correct the input data for ""%1 => %2"" rate.","Corrigeer de invoergegevens voor ""%1 => %2"" koers."
"All valid rates have been saved.","Alle beoordelingen zijn opgeslagen."
"System","systeem"
"You applied the custom currency symbols.","U heeft de aangepaste valutasymbolen toegepast."
"You must first configure currency options before being able to see currency rates.","U moet eerst valuta-opties instellen voordat u wisselkoersen kunt zien."
"Old rate:","Oude koers:"
"Currency","Valuta"
"[GLOBAL]","[GLOBAAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[WINKELAANZICHT]"
"The current module XML block name is undefined.","De huidige module XML-blok naam is niet gedefinieerd."
"The current module form model pathname is undefined.","Huidige module vorm model padnaam is niet gedefinieerd."
"No","Nee"
"Yes","Ja"
"Use helper with defined EAV entity.","Gebruik helper met gedefinieerde EAV entiteit."
"Default EAV Form","Standaard EAV Vorm"
"Please correct the values for minimum and maximum text length validation rules.","Corrigeer de waarden voor de minimale en maximale tekstlengte validatieregels."
"Please correct the values for minimum and maximum date validation rules.","Corrigeer de waarden voor de minimale en maximale datum-validatieregels."
"Text Field","Tekstveld"
"Text Area","Tekstgedeelte"
"Multiple Line","Multiple Lijn"
"Date","Datum"
"Dropdown","Dropdown"
"Multiple Select","Multi-select"
"Yes/No","Ja/Nee"
"File (attachment)","Bestand (bijlage)"
"Image File","Afbeeldingsbestand"
"Alphanumeric","Alfanumeriek"
"Numeric Only","Alleen Cijfers"
"Alpha Only","Allen Letters"
"URL","URL"
"Email","Email"
"Strip HTML Tags","Strip HTML Tags"
"Escape HTML Entities","Escape HTML Eenheden"
