"All","Alle"
"Mass Actions","Massenoperationen"
"Select All","Alles auswählen"
"Unselect All","Alle abwählen"
"Select Visible","Sichtbare auswählen"
"Unselect Visible","Sichtbare abwählen"
"Special Price","Sonderpreis"
"Regular Price","Normaler Preis"
"Buy %1 for:","Kaufen Sie %1 für:"
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Kauf %1 für %2 jeweils und <strong class=""benefit"">spare<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Kaufen Sie %1 für %2"
"Shop By","Einkaufsoptionen"
"Shopping Options","Shopping-Möglichkeiten"
"Compare Products","Produkte vergleichen"
"Print This Page","Diese Seite drucken"
"Remove Product","Produkt entfernen"
"Add to Cart","In den Warenkorb"
"In stock","Auf Lager"
"Out of stock","Nicht lieferbar"
"Add to Wish List","Zur Wunschliste hinzufügen"
"You have no items to compare.","Sie haben keine Artikel zum vergleichen."
"Remove This Item","Diesen Artikel entfernen"
"Compare","Vergleichen"
"Clear All","Alles löschen"
"Prev","Zurück"
"Next","Weiter"
"We can't find products matching the selection.","Leider können wir keine passenden Produkte zu ihrer Auswahl finden."
"Learn More","Mehr erfahren"
"Add to Compare","Zur Vergleichsliste hinzufügen"
"We found other products you might like!","Diese Artikel könnten Ihnen eventuell auch gefallen!"
"More Choices:","Mehr Auswahl:"
"Check items to add to the cart or","Wählen Sie die Artikel aus, die dem Warenkorb hinzugefügt werden sollen, oder"
"select all","alle auswählen"
"Items %1-%2 of %3","Artikel %1-%2 von %3"
"%1 Item","%1 Artikel"
"%1 Items","%1 Elemente"
"Show","Zeige"
"per page","pro Seite"
"Sort By","Sortieren nach"
"Set Ascending Direction","Aufsteigend sortieren"
"Set Descending Direction","Absteigend sortieren"
"View as","Anzeigen als"
"More Information","Weitere Informationen"
"Loading...","Wird geladen …"
"* Required Fields","* Pflichtfelder"
"Availability","Verfügbarkeit"
"Warning message","Warnmeldung"
"Submit","Absenden"
"We don't recognize or support this file extension type.","We don't recognize or support this file extension type."
"Configure Product","Konfiguriere Produkt"
"OK","OK"
"This value does not follow the specified format (for example, 200x300).","Dieser Wert entspricht nicht der vorgegebenen Formatierung (zum Beispiel 200x300)."
"Select type of option.","Wählen Sie den Typ der Option."
"Please add rows to option.","Bitte fügen Sie Zeilen zur Option hinzu."
"Please select items.","Bitte Artikel auswählen."
"Choose existing category.","Eine bestehende Kategorie auswählen."
"Image Detail","Bilddetails"
"Adding...","Wird hinzugefügt …"
"Added","Hinzugefügt"
"does not implement Storage Interface","does not implement Storage Interface"
"unselect all","Auswahl aufheben"
"Inventory","Inventar"
"Catalog Section","Katalogbereich"
"Small","Klein"
"Main","Primär"
"Custom image","Benutzerdefiniertes Bild"
"Product Fields Auto-Generation","Product Fields Auto-Generation"
"Mask for SKU","Maske für Artikelnummer"
"Use {{name}} as Product Name placeholder","Verwende {{name}} als Produktnamenplatzhalter"
"Mask for Meta Title","Maske für Meta-Titel"
"Mask for Meta Keywords","Maske für Meta-Keywords"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Verwenden Sie {{name}} als Produktname oder {{sku}} als Artikelnummer Platzhalter"
"Mask for Meta Description","Maske für Meta-Beschreibung"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Use {{name}} and {{description}} as Product Name and Product Description placeholders"
"Recently Viewed/Compared Products","Zuletzt angesehene/verglichene Produkte"
"Lifetime of products in Recently Viewed Widget","Lebensdauer der Produkte im Kürzlich-angesehen-Widget"
"Lifetime of products in Recently Compared Widget","Lebensdauer der Produkte im Kürzlich-verglichen-Widget"
"Synchronize widget products with backend storage","Synchronize widget products with backend storage"
"Storefront","Frontend"
"List Mode","Liste"
"Products per Page on Grid Allowed Values","Artikel pro Seite (erlaubte Werte für Gitter)"
"Comma-separated.","Durch Kommata getrennt."
"Products per Page on Grid Default Value","Artikel pro Seite (Standardwerte Werte für Gitter)"
"Must be in the allowed values list","Muss in der Liste zulässiger Werte vorhanden sein"
"Products per Page on List Allowed Values","Artikel pro Seite (erlaubte Werte für Liste)"
"Products per Page on List Default Value","Artikel pro Seite (Standardwerte Werte für Liste)"
"Use Flat Catalog Category","Flache Kategorien-Tabelle nutzen"
"Use Flat Catalog Product","Flache Produkt-Tabelle nutzen"
"Product Listing Sort by","Artikelliste sortiert nach"
"Allow All Products per Page","Erlaube alle Artikel pro Seite"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Whether to show ""All"" option in the ""Show X Per Page"" dropdown"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Product Image Placeholders","Platzhalter für Artikelbilder"
"Search Engine Optimization","Suchmaschinenoptimierung"
"Page Title Separator","Seitentitel-Trenner"
"Use Canonical Link Meta Tag For Categories","Canonical-Metatag für Kategorien verwenden"
"Use Canonical Link Meta Tag For Products","Canonical-Metatag für Produkte verwenden"
"Catalog Price Scope","Gültigkeitsbereich des Katalogpreises"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Category Top Navigation","Kategorie Top-Navigation"
"Maximal Depth","Maximale Tiefe"
"Date & Time Custom Options","Date & Time Custom Options"
"Use JavaScript Calendar","Javascript-Kalender verwenden"
"Date Fields Order","Date Fields Order"
"Time Format","Zeitformat"
"Year Range","Jahrebereich"
"Please use a four-digit year format.","Bitte verwenden Sie ein vierstelliges Jahresformat."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Nur anwendbar auf Katalogartikel und Kategorien. Medien-Inhalte werden über den Editor als statische URL eingefügt. Diese wird nicht aktualisiert wenn die Basis-URL in der Systemkonfiguration verändert wird."
"Top Level Category","Top Level Category"
"Product Info Column","Product Info Column"
"Block after Info Column","Block after Info Column"
"Product Flat Data","Product Flat Data"
"Reorganize EAV product structure to flat structure","Reorganize EAV product structure to flat structure"
"Category Flat Data","Category Flat Data"
"Reorganize EAV category structure to flat structure","Reorganize EAV category structure to flat structure"
"Category Products","Artikel der Kategorie"
"Indexed category/products association","Indexed category/products association"
"Product Categories","Produkt-Kategorien"
"Indexed product/categories association","Indexed product/categories association"
"Product Price","Produktpreis"
"Index product prices","Indizierung von Artikel-Preisen"
"Product EAV","Produkt EAV"
"Index product EAV","Index product EAV"
"Catalog New Products List","Catalog New Products List"
"List of Products that are set as New","Liste von Artikeln die als neu gekennzeichnet sind"
"Display Type","Darstellungsart"
"All products - recently added products, New products - products marked as new","All products - recently added products, New products - products marked as new"
"All products","Alle Artikel"
"New products","Neue Produkte"
"Display Page Control","Anzahl der Artikel die angezeigt werden sollen"
"Number of Products per Page","Anzahl der Produkte pro Seite"
"Number of Products to Display","Anzahl der angezeigten Produkte"
"Template","Vorlage"
"New Products Grid Template","Neue-Artikel-Gittervorlage"
"New Products List Template","Neue-Artikel-Listenvorlage"
"New Products Images and Names Template","New Products Images and Names Template"
"New Products Names Only Template","New Products Names Only Template"
"New Products Images Only Template","New Products Images Only Template"
"Cache Lifetime (Seconds)","Cache-Lebensdauer (in Sekunden)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 wenn nichts anderes festgelegt. Um sofort zu aktualisieren, löschen Sie bitte den Block-HTML-Ausgabe-Cache."
"Catalog Product Link","Katalogartikel Link"
"Link to a Specified Product","Verlinkung auf einen bestimmten Artikel"
"Select Product...","Wähle Artikel..."
"Anchor Custom Text","Individueller Anker Text"
"If empty, we'll use the product name here.","Wenn leer, verwenden wir hier den Namen des Produkts."
"Anchor Custom Title","Individueller Link-Text"
"Product Link Block Template","Produktlink - Blockvorlage"
"Product Link Inline Template","Produktlink - Inlinevorlage"
"Catalog Category Link","Katalogkategorie Link"
"Link to a Specified Category","Verlinkung auf eine bestimmte Kategorie"
"Select Category...","Wähle Kategorie..."
"If empty, we'll use the category name here.","Wenn leer, verwenden wir hier den Namen der Kategorie."
"Category Link Block Template","Kategorielink - Blockvorlage"
"Category Link Inline Template","Kategorie Link - Inline-Vorlage"
"Recently Viewed Products","Kürzlich angesehene Produkte"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"UI Component","UI-Komponente"
"Number of Products to display","Anzahl der Artikel, die angezeigt werden sollen"
"Product attributes to show","Product attributes to show"
"Image","Bild"
"Learn More Link","Learn More Link"
"Buttons to show","Anzuzeigende Buttons"
"Add to Wishlist","Add to Wishlist"
"Viewed Products Grid Template","Angesehene-Artikel-Gittervorlage"
"Viewed Products List Template","Angesehene-Artikel-Listenvorlage"
"Viewed Products Sidebar Template","Viewed Products Sidebar Template"
"Recently Compared Products","Zuletzt verglichene Artikel"
"List of Products Recently Compared by Visitor","Liste von Artikeln, die kürzlich vom Besucher verglichen wurden"
"Compared Products Grid Template","Verglichene-Artikel-Gittervorlage"
"Compared Products List Template","Verglichene-Artikel-Listenvorlage"
"Set","Einrichten"
"Category Information","Kategorieinformation"
"Enable Category","Kategorie aktivieren"
"Include in Menu","In Menü anzeigen"
"Content","Inhalt"
"Category Image","Kategoriebild"
"Description","Description"
"Add CMS Block","CMS Block hinzufügen"
"Display Settings","Anzeigeeinstellungen"
"Display Mode","Anzeigemodus"
"Anchor","Anker"
"Available Product Listing Sort By","Verfügbare Sortierungen für Artikelliste"
"Use All","Verwende alle"
"Default Product Listing Sort By","Standardsortierung für Artikelliste"
"Layered Navigation Price Step","Filternavigation Preis-Schritt"
"URL Key","URL-Bezeichner"
"Meta Title","Meta Titel"
"Meta Keywords","Meta-Schlüsselwörter"
"Meta Description","Meta-Beschreibung"
"Products in Category","Produkte in der Kategorie"
"Design","Design"
"Theme","Thema"
"Layout","Layout"
"Layout Update XML","Layout Aktualisierung XML"
"Apply Design to Products","Design auf Produkte anwenden"
"Schedule Design Update","Design-Aktualisierung planen"
"AttributeSetText","AttributeSetText"
"StatusText","StatusText"
"Product Image Watermarks","Produktbild-Wasserzeichen"
"Base","Base"
"Allowed file types: jpeg, gif, png.","Erlaubte Dateitypen: jpeg, gif, png."
"Image","Bild"
"Image Opacity","Bild-Transparenz"
"Example format: 200x300.","Beispielformat: 200x300."
"Image Position","Bild-Position"
"Small","Klein"
"Attribute Properties","Attribut-Eigenschaften"
"Attribute Label","Attribute Label"
"Catalog Input Type for Store Owner","Catalog Input Type for Store Owner"
"Values","Werte"
"Add this attribute to the list of column options in the product grid.","Add this attribute to the list of column options in the product grid."
"Add this attribute to the list of filter options in the product grid.","Add this attribute to the list of filter options in the product grid."
"System","System"
"All Store Views","Alle Store Views"
"Delete selected items?","Ausgewählte Elemente löschen?"
"Delete items","Elemente löschen"
"Change status","Status ändern"
"Enable","Aktivieren"
"Disable","Deaktivieren"
"Update attributes","Attribute aktualisieren"
"Overview","Übersicht"
"Skip to the end of the images gallery","Zum Ende der Bildgalerie springen"
"Skip to the beginning of the images gallery","Zum Anfang der Bildgalerie springen"
"Details","Details"
"Recently Compared","Kürzlich verglichen"
"Add To Cart","In den Warenkorb"
"Add To Compare","Zur Vergleichsliste hinzufügen"
"Learn more","Mehr erfahren"
"Recently Viewed","Kürzlich angesehen"
"Edit Event","Ereignis bearbeiten"
"Add Event","Ereignis hinzufügen"
"Events","Ereignisse"
"Add Catalog Event","Katalog-Ereignis hinzufügen"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Back to Category","Zurück zur Kategorie"
"Edit Catalog Event","Katalog-Ereignis bearbeiten"
"Catalog Event Information","Katalog-Event-Informationen"
"Category","Kategorie"
"Start Date","Start"
"End Date","Enddatum"
"Image","Bild"
"Sort Order","Sortierreihenfolge"
"Upcoming","Bevorstehend"
"Open","Geöffnet"
"Closed","Geschlossen"
"Display Countdown Ticker On","Schalte die Anzeige des Countdown-Tickers an"
"Category Page","Kategorie-Seite"
"Product Page","Produktseite"
"Status","Status"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[STORE VIEW]"
"Coming Soon","In Kürze verfügbar"
"Sale Ends In","Angebot endet in"
"Catalog","Katalog"
"You deleted the event.","Sie haben das Ereignis gelöscht."
"New Event","Neues Ereignis"
"Default Values","Standardwerte"
"Something went wrong while saving this event.","Beim speichern der Veranstaltung trat ein Fehler auf."
"We did not upload your image.","Das Bild konnte nicht hochgeladen werden."
"You saved the event.","Veranstaltung wurde gespeichert."
"%1 is required.","%1 ist erforderlich."
"Please make sure the end date follows the start date.","Das Enddatum muss nach dem Startdatum liegen."
"Event for selected category","Veranstaltung für ausgewählte Kategorie"
"Lister Block","Lister-Block"
"This product is no longer on sale.","Dieses Produkt wird nicht mehr verkauft."
"Some of these products can no longer be sold.","Einige dieser Produkte können nicht mehr verkauft werden."
"Select Category","Kategorie auswählen"
"Use Default Value","Standardwerte verwenden"
"Days","Tage"
"Hrs","Stunden"
"Mins","Minuten"
"Sec","Sekunden"
"Preview Sale","Verkaufsvorschau"
"Go To Sale","Zum Verkauf"
"View Sale","Zeige Angebote"
"Previous","Zurück"
"Next","Weiter"
"Catalog Events","Katalog Ereignisse"
"Enable Catalog Events Functionality","Katalog-Events-Funktionalität aktivieren"
"Enable Catalog Event Widget on Storefront","Katalog-Event-Widget im Frontend aktivieren"
"Number of Events to be Displayed in Event Slider Widget","Anzahl der Ereignisse, die im Ereignis-Slider Widget angezeigt werden sollen"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Sie können diesen Standardwert im CMS überschreiben, indem Sie die limit=""x"" Variable nutzen. Lassen Sie diese leer, um keine Einschränkung zu definieren."
"Events to Scroll per Click in Event Slider Widget","Event zum Blättern per Klick im Event-Slider-Widget"
"You can override this default value in CMS using the limit=""x"" variable.","Sie können diesen Standardwert im CMS überschreiben, indem Sie die limit=""x"" Variable nutzen."
"Catalog Events Carousel","Katalog-Ereignis-Karusell"
"List all open Catalog Events as a Paginated Carousel","Liste aller offenen Katalog-Events als ein paginiertes Karussell"
"Frame Size","Frame-Größe"
"Number of Items to display at once","Anzahl der gleichzeitig angezeigten Elemente"
"Scroll","Umblättern (scroll)"
"Number of Items to scroll per click","Anzahl der Elemente die pro Klick umblättern (scrollen)"
"Block Custom Width","Block mit benutzerdefinierter Breite"
"If empty, we'll automatically set the width value in pixels.","Wenn leer, wird automatisch einen Wert für die Breite in Pixeln festgelegt."
"Catalog Events Carousel Default Template","Standard-Template für Katalog-Events-Karussell"
"ID","ID"
"Category ID","Kategorie ID"
"Start","Starten"
"End","Ende"
"Countdown Ticker","Countdown-Ticker"
"Action","Aktion"
"Edit","Bearbeiten"
"Cannot resolve layered filter type","Cannot resolve layered filter type"
"Missing key %1 in product data","Fehlender Schlüssel %1 in Produktdaten"
"Concrete type for %1 not implemented","Concrete type for %1 not implemented"
"Cannot resolve type","Cannot resolve type"
"""model"" value should be specified","""model"" value should be specified"
"""path"" value should be specified","""path"" value should be specified"
"currentPage value %1 specified is greater than the number of pages available.","currentPage value %1 specified is greater than the number of pages available."
"""id for category should be specified","""Id für Kategorie sollte angegeben werden"
"No child sku found for product link.","Kein Kind-SKU für den Produkt-Link gefunden."
"""image_type"" value should be specified","""image_type"" value should be specified"
"'search' or 'filter' input argument is required.","Eingabeargument 'Suche' oder 'Filter' ist erforderlich."
"currentPage value %1 specified is greater than the %2 page(s) available.","currentPage value %1 specified is greater than the %2 page(s) available."
"SimpleProduct type not defined in schema.","SimpleProduct type not defined in schema."
"'category_id' only supports 'eq' condition type.","'category_id' only supports 'eq' condition type."
"Entity type model '%1' is not found","Entity Type Model '%1' konnte nicht gefunden werden"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Entitätsmodell Typ muss eine Instanz des \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType sein"
"There are no product types available for export.","There are no product types available for export."
"'Entity type model must be an instance of ' .","'Entity-Typ-Model muss eine Instanz sein von'."
"Wrong attribute set code ""%1"", please correct it and try again.","Falscher Attribute-Set-Code ""%1"". Bitte korrigieren Sie diesen und versuchen Sie es erneut."
"Category ""%1"" has not been created.","Kategorie ""%1"" wurde nicht erstellt."
"File directory '%1' is not readable.","File directory '%1' is not readable."
"File directory '%1' is not writable.","Dateiverzeichnis '%1' ist nicht beschreibbar."
"Value for 'price' sub attribute in 'store' attribute contains incorrect value","Wert für 'price'-Unterattribut in 'store'-Attribut enthält ungültigen Wert"
"Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: 'dropdown', 'checkbox'","Wert für 'type'-Unterattribut in 'custom_options'-Attribut enthält ungültigen Wert, zulässige Werte sind: 'dropdown', 'checkbox'"
"Please enter a value for title.","Bitte Tiel eingeben."
"Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value","Wert für 'price'-Unterattribut in 'custom_options'-Attribut enthält ungültigen Wert"
"Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value","Wert für 'maximum characters'-Unterattribut in 'custom_options'-Attribut enthält ungültigen Wert"
"Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value","Wert für 'sort order'-Unterattribut in 'custom_options'-Attribut enthält ungültigen Wert"
"Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value","Wert für 'value price'-Unterattribut in 'custom_options'-Attribut enthält ungültigen Wert"
"This name is already being used for custom option. Please enter a different name.","Dieser Name wird bereits für eine benutzerdefinierte Option verwendet. Bitte vergeben Sie einen anderen Namen."
"Custom options have different types.","Benutzerdefinierte Optionen haben unterschiedliche Typen."
"Every option entity must have a parent product entity.","Jede Options Entity muss eine übergeordnetes Produkt Entity besitzen."
"Please correct the parameters.","Bitte korrigiere die Eingabe."
"File '%1' was not found or has read restriction.","Datei '%1' wurde nicht gefunden oder konnte nicht gelesen werden."
"ALL GROUPS","Nicht auf Lager"
"Customer Group","Kundengruppe"
"Minimum Qty","Der Lagerbestand des Artikels ist ungültig"
"Add Minimum Qty","Mindestmenge hinzufügen"
"We can't rebuild the index for an undefined product.","Wir können den Index für ein undefiniertes Produkt nicht neu erstellen."
"Could not rebuild index for empty products array","Could not rebuild index for empty products array"
"The stock item for Product is not valid.","Der Lagerartikel für das Produkt ist nicht gültig."
"This product is out of stock.","Dieses Produkt ist nicht auf Lager."
"Some of the products are out of stock.","Einige der Produkte sind nicht auf Lager."
"The stock item for Product in option is not valid.","Der Lagerartikel für das Produktoption ist nicht gültig."
"Undefined product type","Undefinierter Produkttyp"
"%1 is not a correct comparison method.","%1 ist keine richtige Vergleichsmethode."
"No Backorders","Keine Backorders"
"Allow Qty Below 0","Menge unter 0 zulassen"
"Allow Qty Below 0 and Notify Customer","Menge unter 0 zulassen und Kunden informieren"
"In Stock","Auf Lager"
"Out of Stock","Nicht auf Lager"
"Unable to save Stock Item","Lagerartikel speichern nicht möglich"
"Stock Item with id ""%1"" does not exist.","Bestandsposition mit der Id ""%1"" ist nicht vorhanden."
"Unable to remove Stock Item with id ""%1""","Lagerartikel mit ID ""%1"" konnte nicht entfernt werden"
"Unable to save Stock","Lagerbestand konnte nicht gespeichert werden"
"Stock with id ""%1"" does not exist.","Bestand mit der id ""%1"" existiert nicht."
"Unable to remove Stock with id ""%1""","Lagerbestand von ID ""%1"" konnte nicht gelöscht werden"
"Unable to save Stock Status","Lagerstatus konnte nicht gespeichert werden"
"Unable to remove Stock Status for product %1","Lagerstatus von Produkt %1 konnte nicht entfernt werden"
"Invalid stock id: %1. Only default stock with id %2 allowed","Ungültige Lager-ID: %1. Nur Standard-Lager mit ID %2 erlaubt"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Ungültige Lagerprodukt ID: %1. ID sollte null oder ein numerischer Wert größer als 0 sein"
"Invalid stock item id: %1. Assigned stock item id is %2","Ungültige Lagerartikel-ID: %1. Zugewiesene Lagerartikel-ID ist %2"
"Not all of your products are available in the requested quantity.","Nicht alle Ihrer ausgewählten Produkte sind in der gewünschten Menge verfügbar."
"Product with SKU ""%1"" does not exist","Produkt mit SKU ""%1"" ist nicht vorhanden"
"The fewest you may purchase is %1.","Das Minimum, welches Sie kaufen können ist %1."
"Please correct the quantity for some products.","Bitte korrigieren Sie die Menge bei einigen Produkten."
"The most you may purchase is %1.","Das Maximum, welches Sie kaufen können ist %1."
"We don't have as many ""%1"" as you requested.","We don't have as many ""%1"" as you requested."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","Wir haben nicht so viele ""%1"" wie angefragt, aber wir werden die übrigen %2 bestellen."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","Wir haben ""%1"" nicht in der angeforderten Menge, sodass wir die übrigen %2 bestellen werden."
"You can buy %1 only in quantities of %2 at a time.","Sie können %1 nur in einer Menge von %2 zu diesem Zeitpunkt kaufen."
"You can buy this product only in quantities of %1 at a time.","Du kannst dieses Produkt pro Bestellvorgang nur in der Menge von %1 kaufen."
"Decimal qty increments is not allowed.","Angabe dezimale Lagerbestandsmengen nicht zulässig"
"Stock Status","Lagerstatus"
"Quantity","Menge"
"Advanced Inventory","Erweitertes Inventar"
"%1 is available to buy in increments of %2","%1 kann in Schritten von %2 gekauft werden"
"Only %1 left","Nur noch %1 verfügbar"
"Product availability","Produktverfügbarkeit"
"Product Name","Artikelname"
"Qty","Menge"
"Inventory Section","Inventar"
"Inventory","Inventar"
"Stock Options","Lagerbestands Optionen"
"Decrease Stock When Order is Placed","Verringere Lagerbestand bei Bestellung"
"Set Items' Status to be In Stock When Order is Cancelled","Setze Lagerstatus auf ""Verfügbar"" wenn Bestellung storniert wird"
"Display Out of Stock Products","Anzeige der ""Nicht auf Lager"" Produkte"
"Products will still be shown by direct product URLs.","Produkte werden weiterhin unter direkter Produkt-URL angezeigt."
"Only X left Threshold","""Nur noch X Produkte verfügbar"" Schwelle"
"Display Products Availability in Stock on Storefront","Lagerverfügbarkeit im Frontend anzeigen"
"Product Stock Options","Lagerverwaltungs Optionen"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Please note that these settings apply to individual items in the cart, not to the entire cart."
"Manage Stock","Lagerbestand verwalten"
"Backorders","Backorders"
"Maximum Qty Allowed in Shopping Cart","Maximal erlaubte Menge im Warenkorb"
"Out-of-Stock Threshold","Nicht auf Lager Schwellenwert"
"Minimum Qty Allowed in Shopping Cart","Minimal erlaubte Menge im Warenkorb"
"Notify for Quantity Below","Benachrichtigung bei Menge unter"
"Automatically Return Credit Memo Item to Stock","Erzeuge automatische Gutschrift wenn Artikel zurück in Lager geht"
"Enable Qty Increments","Mengenerhöhungen aktivieren"
"Qty Increments","Anzahl erhöhen"
"Stock","Lagerbestand"
"Index stock","Lager indizieren"
"Use Config Settings","Konfigurationseinstellungen verwenden"
"Qty Uses Decimals","Menge verwendet Dezimalzahlen"
"Allow Multiple Boxes for Shipping","Versand in mehreren Lieferungen zulassen"
"""model"" value should be specified","""model"" value should be specified"
"New Permission","Verweigern"
"You already have a permission with this scope.","Sie haben bereits eine Berechtigung in diesem Bereich."
"(Allow)","(Erlauben)"
"(Deny)","(Verbieten)"
"Category Permissions","Kategorieberechtigungen"
"Browsing Category","Durch Kategorie navigieren"
"Display Product Prices","Produktpreise anzeigen"
"Add to Cart","In den Warenkorb"
"Yes, for Everyone","Ja, für alle"
"Yes, for Specified Customer Groups","Ja, für angegebene Kundengruppen"
"No","Nein"
"No, Redirect to Landing Page","Nein, Umleitung zur Landing-Page"
"Permission with the same scope","Berechtigung mit dem selben Bereich"
"You may need more permissions to access this category.","Sie benötigen weitere Zugriffsberechtigungen für diese Kategorie."
"You may need more permissions to access this product.","Sie benötigen weitere Berechtigungen, um auf dieses Produkt zugreifen zu können."
"You cannot add ""%1"" to the cart.","Sie können ""%1"" nicht zu Warenkorb hinzufügen."
"Permissions do not depend on store views.","Berechtigungen sind nicht von Store Views abhängig."
"Website","Website"
"Customer Group","Kundengruppe"
"Action","Aktion"
"-- Please Select --","-- Bitte wählen --"
"All Websites","Alle Webseiten"
"All Customer Groups","Alle Kundengruppen"
"Allow","Erlauben"
"Deny","Verbieten"
"Use parent","übergeordnete Berechtigungen verwenden"
"Category Permissions Section","Kategorieberechtigungenbereich"
"Enable","Aktivieren"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red""> Warnung!</strong> Standardmäßig beschränkt diese Funktion alle Kategorien."
"Allow Browsing Category","Durchsuchen der Kategorie erlauben"
"Customer Groups","Kundengruppen"
"Landing Page","Landing Page"
"Allow Adding to Cart","Hinzufügen zum Warenkorb erlauben"
"Disallow Catalog Search By","Katalogsuche nach verbieten"
"Catalog Category Permissions","Katalogkategorieberechtigungen"
"Indexed permissions for categories","Indizierte Berechtigungen für Kategorien"
"Catalog Product Permissions","Katalogproduktberechtigungen"
"Indexed permissions for products","Indizierte Berechtigungen für Produkte"
"Delete Rule","Regel löschen"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie dies tun wollen?"
"Reset","Zurücksetzen"
"Save and Apply","Speichern und anwenden"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Save","Speichern"
"Catalog Price Rule","Katalog-Preisregel"
"Add New Rule","Neue Regel hinzufügen"
"Apply Rules","Regeln anwenden"
"Conditions","Bedingungen"
"Conditions (don't add conditions if rule is applied to all products)","Bedingungen (Bedingungen nicht hinzufügen, wenn sich die Regel auf alle Produkte bezieht)"
"ID","ID"
"Type","Art"
"Attribute Set","Attribut-Set"
"SKU","Artikelnummer"
"Product","Produkt"
"Promotions","Werbeaktionen"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Wir haben aktualisierte Regeln gefunden, die nicht angewendet werden. Bitte klicken Sie auf ""Regeln anwenden"", um Ihren Katalog zu aktualisieren."
"We can't apply the rules.","Regeln konnten nicht angewendet werden."
"You deleted the rule.","Sie haben die Regel gelöscht."
"We can't delete this rule right now. Please review the log and try again.","Wir können diese Regel nicht löschen. Bitte überprüfen Sie das Log, und versuchen Sie es erneut."
"We can't find a rule to delete.","Wir können keine Regel zum Löschen finden."
"This rule no longer exists.","Diese Regel existiert nicht mehr."
"New Catalog Price Rule","Neue Katalogpreisregel"
"Edit Rule","Regel bearbeiten"
"New Rule","Neue Regel"
"Catalog","Katalog"
"You saved the rule.","Sie haben die Regel gespeichert."
"Something went wrong while saving the rule data. Please review the error log.","Beim Speichern der Regeldaten ist etwas schiefgelaufen. Bitte lesen Sie das Fehlerprotokoll."
"Promo","Promo"
"Unable to save rule %1","Regel %1 kann nicht gespeichert werden"
"Rule with specified ID ""%1"" not found.","Regel mit der angegebenen ID ""%1"" wurde nicht gefunden."
"Unable to remove rule %1","Regel %1 konnte nicht gelöscht werden"
"Could not rebuild index for empty products array","Der Index für leere Produkte konnte nicht neu aufgebaut werden"
"We can't rebuild the index for an undefined product.","Wir können den Index für ein undefiniertes Produkt nicht neu erstellen."
"Catalog rule indexing failed. See details in exception log.","Die Indizierung der Katalogregeln ist fehlgeschlagen. Für Details siehe ExceptionLog."
"Percentage discount should be between 0 and 100.","Prozentualer Rabatt sollte zwischen 0% und 100% sein."
"Discount value should be 0 or greater.","Rabatt muss größer 0 sein."
"Unknown action.","Unbekannte Aktion."
"Update the Product","Produkt aktualisieren"
"Rule price","Regel-Preis"
"To Fixed Value","Auf festen Wert"
"To Percentage","Auf Prozentsatz"
"By Fixed value","Um festen Wert"
"By Percentage","Um Prozentsatz"
