"All","Все"
"Decimal qty increments is not allowed.","Decimal qty increments is not allowed."
"Stock Status","Статус наличия"
"Quantity","Количество"
"Advanced Inventory","Расширенный инвентарь"
"%1 is available to buy in increments of %2","%1 is available to buy in increments of %2"
"Only %1 left","Осталось всего %1"
"Product availability","Доступность продукта"
"Product Name","Название товара"
"Qty","Кол-во"
"Inventory Section","Секция Инвентаризации"
"Inventory","Запасы"
"Stock Options","Варианты Запаса"
"Decrease Stock When Order is Placed","Decrease Stock When Order is Placed"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Display Out of Stock Products","Display Out of Stock Products"
"Products will still be shown by direct product URLs.","Products will still be shown by direct product URLs."
"Only X left Threshold","Only X left Threshold"
"Display Products Availability in Stock on Storefront","Display Products Availability in Stock on Storefront"
"Product Stock Options","Product Stock Options"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Пожалуйста, обратите внимание, что эти параметры применяются к отдельным элементам в корзину, не всю корзину."
"Manage Stock","Управление наличием"
"Backorders","Предзаказы"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Cart"
"Out-of-Stock Threshold","Out-of-Stock Threshold"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
"Notify for Quantity Below","Notify for Quantity Below"
"Automatically Return Credit Memo Item to Stock","Automatically Return Credit Memo Item to Stock"
"Enable Qty Increments","Enable Qty Increments"
"Qty Increments","Qty Increments"
"Stock","Склад"
"Index stock","Index stock"
"Use Config Settings","Use Config Settings"
"Qty Uses Decimals","Количество использует десятичные дроби"
"Allow Multiple Boxes for Shipping","Разрешить несколько коробок для доставки"
"""model"" value should be specified","""model"" value should be specified"
"New Permission","Новое разрешение"
"You already have a permission with this scope.","You already have a permission with this scope."
"(Allow)","(Разрешить)"
"(Deny)","(Запретить)"
"Category Permissions","Category Permissions"
"Browsing Category","Browsing Category"
"Display Product Prices","Отображать цены товара"
"Add to Cart","Добавить в корзину"
"Yes, for Everyone","Да, для всех"
"Yes, for Specified Customer Groups","Да, для групп указанного клиента"
"No","Нет"
"No, Redirect to Landing Page","No, Redirect to Landing Page"
"Permission with the same scope","Permission with the same scope"
"You may need more permissions to access this category.","You may need more permissions to access this category."
"You may need more permissions to access this product.","You may need more permissions to access this product."
"You cannot add ""%1"" to the cart.","You cannot add ""%1"" to the cart."
"Permissions do not depend on store views.","Permissions do not depend on store views."
"Website","Веб-сайт"
"Customer Group","Группы клиентов"
"Action","Действие"
"-- Please Select --","-- Выберите --"
"All Websites","Все веб-сайты"
"All Customer Groups","Все группы клиента"
"Allow","Разрешить"
"Deny","Запретить"
"Use parent","Use parent"
"Category Permissions Section","Category Permissions Section"
"Enable","Включить"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Allow Browsing Category"
"Customer Groups","Группы покупателей"
"Landing Page","Landing Page"
"Allow Adding to Cart","Allow Adding to Cart"
"Disallow Catalog Search By","Disallow Catalog Search By"
"Catalog Category Permissions","Catalog Category Permissions"
"Indexed permissions for categories","Indexed permissions for categories"
"Catalog Product Permissions","Catalog Product Permissions"
"Indexed permissions for products","Indexed permissions for products"
"Delete Rule","Удалить правило"
"Are you sure you want to do this?","Вы уверены, что вы хотите это сделать?"
"Reset","Сбросить"
"Save and Apply","Сохранить и применить"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Save","Сохранить"
"Catalog Price Rule","Правило цены каталога"
"Add New Rule","Добавить новое правило"
"Apply Rules","Применить правила"
"Conditions","Условия"
"Conditions (don't add conditions if rule is applied to all products)","Conditions (don't add conditions if rule is applied to all products)"
"ID","ID"
"Type","Тип"
"Attribute Set","Набор атрибутов"
"SKU","Артикул"
"Product","Товар"
"Promotions","Продвижение"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Мы обнаружили обновленные правила, которые не применяются. Нажмите ""Применить правила"", чтобы обновить каталог."
"We can't apply the rules.","We can't apply the rules."
"You deleted the rule.","Вы удалили правило."
"We can't delete this rule right now. Please review the log and try again.","We can't delete this rule right now. Please review the log and try again."
"We can't find a rule to delete.","We can't find a rule to delete."
"This rule no longer exists.","Это правило больше не существует."
"New Catalog Price Rule","Правило цены нового каталога"
"Edit Rule","Редактировать правило"
"New Rule","Новое правило"
"Catalog","Каталог"
"You saved the rule.","Вы сохранили правило."
"Something went wrong while saving the rule data. Please review the error log.","При сохранении данных правила что-то пошло не так. Пожалуйста, просмотрите журнал ошибок."
"Promo","Промо"
"Unable to save rule %1","Не удется сохранить правило %1"
"Rule with specified ID ""%1"" not found.","Правило с указанным ID ""%1"" не найдено."
"Unable to remove rule %1","Не удается удалить правило %1"
"Could not rebuild index for empty products array","Не удалось перестроить индекс для пустых массивов товаров"
"We can't rebuild the index for an undefined product.","We can't rebuild the index for an undefined product."
"Catalog rule indexing failed. See details in exception log.","Ошибка индексации правила каталога. Смотрите подробности в журнале исключений."
"Percentage discount should be between 0 and 100.","Процентная скидка должна быть от 0 до 100."
"Discount value should be 0 or greater.","Значение скидки должно быть 0 или больше."
"Unknown action.","Неизвестное действие."
"Update the Product","Обновление товара"
"Rule price","Правило цены"
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"By Fixed value","По фиксированному значению"
"By Percentage","By Percentage"
"Update product's %1 %2: %3","Обновление продукта %1 %2: %3"
"Apply as percentage of original","Подать заявку в процентах от оригинала"
"Apply as fixed amount","Применять как фиксированную сумму"
"Adjust final price to this percentage","Отрегулируйте конечную цену на этот процент"
"Adjust final price to discount value","Adjust final price to discount value"
"Conditions Combination","Сочетание условий"
"Product Attribute","Атрибут товара"
"Updated rules applied.","Обновлены правила применяны."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","Вы отключили %1 Правила цены каталога, основанные на атрибуте ""%2""."
"Catalog Rule Product","Catalog Rule Product"
"Indexed rule/product association","Индексированное правило/ассоциация продуктов"
"Catalog Product Rule","Catalog Product Rule"
"Indexed product/rule association","Indexed product/rule association"
"Rule","Правило"
"Start","Старт"
"End","Конец"
"Status","Статус"
"Active","Активно"
"Inactive","Неактивный"
"Web Site","Веб-сайт"
"Back","Вернуться"
"Rule Information","Информация о правилах"
"Rule Name","Rule Name"
"Description","Description"
"Websites","Websites"
"Customer Groups","Группы покупателей"
"From","от"
"To","До"
"Priority","Приоритет"
"Actions","Действия"
"Apply","Применить"
"Discount Amount","Discount Amount"
"Discard subsequent rules","Discard subsequent rules"
"Yes","Да"
"No","Нет"
"catalog_rule","catalog_rule"
"Magento\CatalogRule\Api\Data\RuleInterface","Magento\CatalogRule\Api\Data\RuleInterface"
"Future Update in this time range already exists. Select a different range to add a new Future Update.","""Будущее обновление"" для этого диапазона времени уже существует. Выберите другой диапазон для добавления нового ""Будущего обновления""."
"Future Update End Time cannot be equal or earlier than Start Time.","Future Update End Time cannot be equal or earlier than Start Time."
"Smth went to exception","Smth went to exception"
"ID","ID"
"Rule","Правило"
"Priority","Приоритет"
"Web Site","Веб-сайт"
"Action","Действие"
"Edit","Редактировать"
"Scheduled Changes","Scheduled Changes"
"Name","Имя"
"Description","Описание"
"Update Information","Update Information"
"Remove Catalog Price Rule from Update","Remove Catalog Price Rule from Update"
"Schedule Update","Schedule Update"
"Update Name","Имя обновления"
"Start Date","Дата Hачала"
"End Date","Дата окончания"
"Rule Information","Информация о правилах"
"Rule Name","Имя Правила"
"Status","Статус"
"Active","Активно"
"Inactive","Неактивен"
"Websites","Веб-сайты"
"Customer Groups","Группы клиентов"
"Conditions","Условия"
"Actions","Действия"
"Apply","Применить"
"Discount Amount","Сумма скидки"
"Discard subsequent rules","Discard subsequent rules"
"Yes","Да"
"No","Нет"
"Save as a New Update","Сохранить как новое обновление"
"Move to Another Update","Переместить в другое обновление"
"Delete the Update","Удалить обновление"
"The catalog price rule will be removed from the update and all scheduled changes will be lost.","Правило о цене каталога будет удалено из обновления и все запланированные изменения будут потеряны."
"200","200"
"100","100"
"50","50"
"30","30"
"20","20"
"Start Time","Время начала"
"End Time","Время окончания"
"Catalog Price Rules","Правило цен каталога"
"Remove Catalog Price Rule from Campaign","Remove Catalog Price Rule from Campaign"
"Home","Главная"
"Go to Home Page","Перейти на главную страницу"
"Catalog Advanced Search","Расширенный поиск по каталогу"
"All","Все"
"Yes","Да"
"No","Нет"
"Results","Результаты"
"Advanced Search Results","Расширенный Поиск"
"Grid","Сетка"
"List","Список"
"Search Weight","Вес Поиска"
"Relevance","Релевантность"
"Search results for: '%1'","Результаты поиска для:' %1'"
"Minimum Search query length is %1","Минимальная длина поискового запроса %1"
"Please specify at least one search term.","Укажите, по крайней мере, один поисковый запрос."
"%1 and greater","%1 и более"
"up to %1","до %1"
". "" which is inconsistent with state of scope resolver""",". "" which is inconsistent with state of scope resolver"""
"Category","Категория"
"%1 and above","%1 и выше"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Извините, что-то пошло не так. Вы можете узнать подробности в журнале ошибок."
"Bucket does not exist","Контейнер не существует"
"Product","Товар"
"Search Settings","Настройки поиска"
"Search","Поиск"
"Advanced Search","Расширенный поиск"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 позиция</strong> была найдена с помощью следующей критерии поиска"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 items</strong> were found using the following search criteria"
"We can't find any items matching these search criteria.","Мы не можем найти другие элементы, соответствующие этим критериям поиска."
"Modify your search.","Изменить ваш запрос."
"name","название"
"Don't see what you're looking for?","Не нашли то, что искали?"
"Your search returned no results.","Ничего не найдено."
"Popular Search Terms","Популярные поисковые запросы"
"Catalog Search","Поиск по каталогу"
"Minimal Query Length","Минимальная длин запроса"
"Maximum Query Length","Максимальная длина запроса"
"Rebuild Catalog product fulltext search index","Перестроить каталог в полнотекстовом поисковом каталоге"
"Please enter a valid price range.","Please enter a valid price range."
"product","product"
"catalog_category","catalog_category"
"Magento\Catalog\Api\Data\ProductInterface","Magento\Catalog\Api\Data\ProductInterface"
"Magento\Catalog\Api\Data\CategoryInterface","Magento\Catalog\Api\Data\CategoryInterface"
"Attribute ""%1"" is required.","Attribute ""%1"" is required."
"Enabled","Включено"
"Disabled","Отключено"
"Future Update in this time range already exists. Select a different range to add a new Future Update.","Future Update in this time range already exists. Select a different range to add a new Future Update."
"Unable to save product","Unable to save product"
"The image cannot be removed as it has been assigned to the other image role","The image cannot be removed as it has been assigned to the other image role"
"Could not save Prices.","Не удалось сохранить цены."
"Invalid attribute %fieldName = %fieldValue.","Invalid attribute %fieldName = %fieldValue."
"The requested price is not found.","The requested price is not found."
"Could not delete Prices","Не удалось удалить цены"
"Update %1 from %2 to %3.","Update %1 from %2 to %3."
"Design","Дизайн"
"View/Edit","Просмотр/редактирование"
"Delete","Удалить"
"Preview","Предварительный просмотр"
"Set Product as New","Set Product as New"
"Store View:","Просмотр магазина:"
"Stores Configuration","Конфигурация Магазина"
"Scheduled Changes","Запланированные изменения"
"Name","Название"
"Description","Описание"
"Action","Действие"
"Update Information","Обновить информацию"
"Schedule Update","Обновление расписания"
"Update Name","Имя обновления"
"Start Date","Дата начала"
"End Date","Дата окончания"
"Enable Category","Включить категорию"
"Include in Menu","Включить в меню"
"Category Name","Название категории"
"Content","Контент"
"Category Image","Изображение категории"
"Add CMS Block","Add CMS Block"
"Display Settings","Параметры отображения"
"Anchor","Anchor"
"Sort Products By","Sort Products By"
"Use All","Использовать все"
"Default Product Sorting","Default Product Sorting"
"Use Config Settings","Использовать Настройки Конфигурации"
"Layered Navigation Price Step","Layered Navigation Price Step"
"Search Engine Optimization","Поисковая оптимизация"
"Meta Title","Мета-заголовок"
"Meta Keywords","Мета Ключевые Слова"
"Meta Description","Мета Описание"
"Use Parent Category Settings","Use Parent Category Settings"
"New Theme","Новая тема"
"Layout","Макеты"
"Layout Update XML","Layout Update XML"
"Apply Design to Products","Apply Design to Products"
"Save as a New Update","Сохранить как новое обновление"
"Move to Another Update","Переместить в другое обновление"
"Delete the Update","Удалить обновление"
"The category will be removed from the update and all scheduled changes will be lost.","The category will be removed from the update and all scheduled changes will be lost."
"200","200"
"100","100"
"50","50"
"30","30"
"20","20"
"Start Time","Время начала"
"End Time","Время окончания"
"ID","ID"
"Thumbnail","Миниатюра"
"Attribute Set","Набор атрибутов"
"AttributeSetText","AttributeSetText"
"Status","Статус"
"StatusText","StatusText"
"Type","Тип"
"SKU","Единица складского учета"
"Price","Цена"
"Remove Product from Update","Удалить продукт из обновления"
"Images","Изображения"
"The product will be removed from the update and all scheduled changes will be lost.","The product will be removed from the update and all scheduled changes will be lost."
"Currently Active","В настоящее время активен"
"Products","Товары"
"Categories","Категории"
"Path","Путь"
"Quantity","Количество"
"Visibility","Видимость"
"Websites","Веб-сайты"
"Create Permanent Redirect for old URL","Создание постоянного перенаправления для старого URL-адреса"
"Invalid URL key","Invalid URL key"
"Category URL Suffix","Category URL Suffix"
"You need to refresh the cache.","You need to refresh the cache."
"Product URL Suffix","Product URL Suffix"
"Use Categories Path for Product URLs","Use Categories Path for Product URLs"
"Create Permanent Redirect for URLs if URL Key Changed","Create Permanent Redirect for URLs if URL Key Changed"
"Catalog Url Rewrite Staging","Catalog Url Rewrite Staging"
"Conditions Combination","Сочетание условий"
"Product Attribute","Атрибут товара"
"SKU","Артикул"
"Please choose a condition to add.","Please choose a condition to add."
"Add to Cart","Добавить в корзину"
"In stock","В наличии"
"Out of stock","Нет в наличии"
"Add to Wish List","Добавить в список желаний"
"Add to Compare","Добавить в сравнение"
"Catalog Products List","Catalog Products List"
"List of Products","Список товаров"
"Title","Заголовок"
"Display Page Control","Контроль экранной страницы"
"Number of Products per Page","Number of Products per Page"
"Number of Products to Display","Number of Products to Display"
"Template","Шаблон"
"Products Grid Template","Products Grid Template"
"Cache Lifetime (Seconds)","Cache Lifetime (Seconds)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Conditions","Условия"
"Shopping Cart","Корзина"
"Invalid method: %1","Недействительный метод: %1"
"City","Город"
"Country","Страна"
"State/Province","Область"
"Zip/Postal Code","Почтовый индекс"
"My Cart (1 item)","Моя корзина (1 шт.)"
"My Cart (%1 items)","Моя корзина (%1 шт.)"
"My Cart","Моя корзина"
"For delivery questions.","По вопросам доставки."
"Customer is already registered","Покупатель уже зарегистрирован"
"Your session has expired","Ваша время истекло"
"A letter with further instructions will be sent to your email.","Письмо с дальнейшими инструкциями будет отправлено на ваш адрес электронной почты."
"You added %1 to your shopping cart.","%1 добавлены в вашу корзину."
"We can't add this item to your shopping cart right now.","Мы не может добавить этот элемент в корзину прямо сейчас."
"Out of stock","Нет в наличии"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","Мы не можем конфигурировать товар."
"You used coupon code ""%1"".","Вы использовали код купона ""%1""."
"The coupon code ""%1"" is not valid.","Код купона ""%1"" недействителен."
"You canceled the coupon code.","Вы отменили код купона."
"We cannot apply the coupon code.","Мы не можем использовать код купона."
"We can't remove the item.","Мы не можем удалить элемент."
"%1 was updated in your shopping cart.","%1 было обновлено в вашей корзине покупок."
"We can't update the item right now.","Мы не можем обновить элемент прямо сейчас."
"We can't update the shopping cart.","Мы не можем обновить корзину."
"One-page checkout is turned off.","Одностраничная проверка отключена."
"Guest checkout is disabled.","Guest checkout is disabled."
"Checkout","Checkout"
"Page not found.","Страница не найдена."
"Please agree to all the terms and conditions before placing the order.","Пожалуйста, согласитесь со всеми условиями и положениями перед размещением заказа."
"Something went wrong while processing your order. Please try again later.","Во время обработки вашего заказа что-то пошло не так. Пожалуйста, повторите попытку позже."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Payment Method"
"Payment Page","Страница оплаты"
"We can't find the product.","Мы не можем найти продукт."
"We found an invalid request for adding product to quote.","We found an invalid request for adding product to quote."
"The product does not exist.","Продукт не существует."
"We don't have some of the products you want.","У нас нет некоторых товаров, которые вы хотите."
"We don't have as many of some products as you want.","У нас нет так много продуктов, как вы хотите."
"Quantity was recalculated from %1 to %2","Количество была пересчитана от %1 до %2"
"We adjusted product quantities to fit the required increments.","Мы скорректировали количество товаров, чтобы соответствовать требуемым приращениям."
"This quote item does not exist.","Данная инструкция не существует."
"Display number of items in cart","Показать количество товаров в корзине"
"Display item quantities","Показ количество товаров"
"An error occurred on the server. Please try to place the order again.","Произошла ошибка на сервере. Пожалуйста, попробуйте повторить размещение заказа."
"Shipping address is not set","Адрес доставки не установлен"
"Unable to save shipping information. Please check input data.","Не удалось сохранить информацию о доставке. Пожалуйста, проверьте входные данные."
"Carrier with such method not found: %1, %2","Перевозчик с таким методом не найден: %1, %2"
"Shipping method is not applicable for empty cart","Способ доставки не распространяется на пустую корзину"
"item","позиция"
"items","позиции"
"Totals calculation is not applicable to empty cart","Расчет итогов не применим к пустой корзине"
"Invalid data","Неверная дата"
"The customer address is not valid.","Адрес клиента не является допустимым."
"Invalid shipping method","Недействительный метод доставки"
"There are more than one shipping addresses.","Существует болше чем один адрес доставки."
"Sorry, guest checkout is not available.","Sorry, guest checkout is not available."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Вы должны подтвердить свою учетную запись. Пожалуйста, проверьте ваш адрес эл. почты для подтверждения или <a href=""%1"">нажмите здесь</A> для создания новой ссылки."
"Load customer quote error","Load customer quote error"
"Error message!","Сообщение об ошибке!"
"Error!","Ошибка!"
"DB exception","DB exception"
"Message","Послание"
"Print receipt","Распечатать квитанцию"
"Apply Discount Code","Применить код скидки"
"Enter discount code","Введите код скидки"
"Apply Discount","Применить скидку"
"Cancel Coupon","Отменить купон"
"Shopping Cart Items","Корзина покупок товаров"
"Item","Элемент"
"Price","Цена"
"Qty","Кол-во"
"Subtotal","Промежуточный итог"
"Continue Shopping","Продолжить заказ"
"Clear Shopping Cart","Очистить корзину"
"Update Shopping Cart","Обновить корзину"
"Update Cart","Обновление корзину"
"See price before order confirmation.","See price before order confirmation."
"What's this?","Что это?"
"Edit item parameters","Изменить параметры позиции"
"Edit","Редактировать"
"Remove item","Удалить позицию"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""%1"">here</a> to continue shopping."
"Estimate Tax","Estimate Tax"
"Estimate Shipping and Tax","Estimate Shipping and Tax"
"Excl. Tax","Без налога"
"Loading...","Загрузка..."
"Order #","Заказ #"
"Proceed to Checkout","Proceed to Checkout"
"Product Name","Название товара"
"Incl. Tax","Включая налог"
"Your order number is: %1.","Your order number is: %1."
"Your order # is: <strong>%1</strong>.","Your order # is: <strong>%1</strong>."
"We'll email you an order confirmation with details and tracking info.","Мы вышлем вам подтверждение заказа с деталями о отслеживании."
"Payment Transaction Failed Reminder","Payment Transaction Failed Reminder"
"Payment Transaction Failed","Payment Transaction Failed"
"Reason","Причина"
"Checkout Type","Тип проверки"
"Customer:","Клиент:"
"Items","Позиции"
"Total:","Всего:"
"Billing Address:","Billing Address:"
"Shipping Address:","Адрес доставки:"
"Shipping Method:","Способ доставки:"
"Payment Method:","Метод оплаты:"
"Date & Time:","Дата и время:"
"Sign In","Войти"
"Email Address","Адрес электронной почты"
"Password","Пароль"
"Forgot Your Password?","Сбросить ваш пароль"
"My billing and shipping address are the same","My billing and shipping address are the same"
"Update","Обновить"
"Cancel","Отмена"
"Save in address book","Сохранить в адресной книге"
"Estimated Total","Estimated Total"
"You can create an account after checkout.","You can create an account after checkout."
"You already have an account with us. Sign in or continue as guest.","You already have an account with us. Sign in or continue as guest."
"Login","Логин"
"See Details","Подробнее"
"Options Details","Options Details"
"Remove","Удалить"
"Cart Subtotal","Cart Subtotal"
"Payment Information","Payment Information"
"No Payment method available.","No Payment method available."
"You can track your order status by creating an account.","You can track your order status by creating an account."
"Place Order","Оформить заказ"
"Forgot an Item?","Forgot an Item?"
"Edit Your Cart","Редактировать корзину"
"Ship Here","Доставить сюда"
"Ship To:","Доставить:"
"edit","изменить"
"Order Summary","Order Summary"
"View and Edit Cart","Просмотр и редактирование корзины"
"View Details","Посмотреть детали"
"Field","Поле"
"is required.","требуется."
"Provided Zip/Postal Code seems to be invalid.","Предоставленный почтовый индекс недействителен."
"Example:","Пример:"
"If you believe it is the right one you can ignore this notice.","Если вы считаете, что это правильный вариант, вы можете игнорировать это уведомление."
"New Address","Новый адрес"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Review & Payments","Обзор & Платежи"
"Select a new payment method","Выбрать новый способ оплаты"
"Shipping","Доставка"
"Save Address","Сохранить адрес"
"Please specify a shipping method.","Please specify a shipping method."
"Checkout Options","Checkout Options"
"Enable Onepage Checkout","Enable Onepage Checkout"
"Allow Guest Checkout","Allow Guest Checkout"
"Display Billing Address On","Display Billing Address On"
"Maximum Number of Items to Display in Order Summary","Maximum Number of Items to Display in Order Summary"
"Quote Lifetime (days)","Quote Lifetime (days)"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to Shopping Cart"
"Number of Items to Display Pager","Number of Items to Display Pager"
"My Cart Link","My Cart Link"
"Display Cart Summary","Display Cart Summary"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Number of Items to Display Scrollbar","Number of Items to Display Scrollbar"
"Maximum Number of Items to Display","Maximum Number of Items to Display"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Email Receiver","Payment Failed Email Receiver"
"Payment Failed Template","Payment Failed Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Separate by "","".","Separate by "",""."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Summary","Итог"
"Order Total","Сумма заказа"
"Shipping Address","Адрес доставки"
"We'll send your order confirmation here.","Мы отправим вам подтверждение вашего заказа здесь."
"Payment","Оплата"
"Not yet calculated","Еще не рассчитана"
"We received your order!","Мы получили ваш заказ!"
"Thank you for your purchase!","Спасибо за покупку!"
"Password","Пароль"
"Something went wrong while saving the page. Please refresh the page and try again.","Something went wrong while saving the page. Please refresh the page and try again."
"Item in Cart","Item in Cart"
"Items in Cart","Товары в корзине"
"Close","Закрыть"
"Terms and Conditions","Условия и соглашения"
"Add New Condition","Добавить новое условие"
"Save Condition","Сохранить условие"
"Delete Condition","Удалить условие"
"Edit Terms and Conditions","Редактировать Условия и Соглашения"
"New Terms and Conditions","Новые Условия и Соглашения"
"Terms and Conditions Information","Terms and Conditions Information"
"Condition Name","Condition Name"
"Status","Статус"
"Enabled","Включено"
"Disabled","Отключено"
"Show Content as","Show Content as"
"Text","Текст"
"HTML","HTML"
"Applied","Applied"
"Store View","Представление магазина"
"Checkbox Text","Checkbox Text"
"Content","Контент"
"Content Height (css)","Content Height (css)"
"Content Height","Content Height"
"ID","ID"
"Condition","Условие"
"Sales","Продажи"
"Checkout Conditions","Checkout Conditions"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"This condition no longer exists.","This condition no longer exists."
"You deleted the condition.","You deleted the condition."
"Something went wrong  while deleting this condition.","Something went wrong  while deleting this condition."
"Edit Condition","Изменить условие"
"New Condition","Новое состояние"
"You saved the condition.","You saved the condition."
"Something went wrong while saving this condition.","Something went wrong while saving this condition."
"Automatically","Автоматически"
"Manually","Вручную"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Unable to save checkout agreement %1","Unable to save checkout agreement %1"
"Unable to remove checkout agreement %1","Unable to remove checkout agreement %1"
"Checkout agreement with specified ID ""%1"" not found.","Checkout agreement with specified ID ""%1"" not found."
"Close","Закрыть"
"Terms & Conditions","Сроки и Условия"
"Enable Terms and Conditions","Enable Terms and Conditions"
"Preview mode doesn't allow submitting the order.","Режим предварительного просмотра не позволяет отправлять заказы."
"Preview Quote Lifetime (minutes)","Предварительный просмотр Цитата Жизнь (минуты)"
"Static Blocks","Статические блоки"
"Add New Block","Добавить новый блок"
"Back","Вернуться"
"Delete Block","Удалить блок"
"Are you sure you want to do this?","Вы уверены, что вы хотите это сделать?"
"Reset","Сбросить"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Save Block","Сохранить блок"
"ID","ID"
"Title","Название"
"Identifier","Идентификатор"
"Status","Статус"
"Disabled","Отключено"
"Enabled","Включено"
"Manage Pages","Manage Pages"
"Add New Page","Добавить новую страницу"
"Delete Page","Удалить страницу"
"Save Page","Сохранить страницу"
"URL Key","Ключ URL-адреса"
"Layout","Раскладка"
"Store View","Представление магазина"
"Created","Создан"
"Modified","Изменен"
"Action","Действие"
"Preview","Предварительный просмотр"
"Media Storage","Хранилище медии"
"Create Folder...","Создать папку..."
"Delete Folder","Удалить папку"
"Delete File","Удалить файл"
"Insert File","Вставить файл"
"New Folder Name:","Имя новой папки:"
"Are you sure you want to delete this folder?","Вы уверены, что хотите удалить эту папку?"
"Are you sure you want to delete this file?","Вы уверены, что хотите удалить этот файл?"
"Images (%1)","Изображение (%1)"
"Storage Root","Storage Root"
"Home","Главная"
"Go to Home Page","Перейти на главную страницу"
"CMS","CMS"
"You deleted the block.","You deleted the block."
"We can't find a block to delete.","We can't find a block to delete."
"This block no longer exists.","This block no longer exists."
"Edit Block","Edit Block"
"New Block","Новый блок"
"Blocks","Blocks"
"Please correct the data sent.","Please correct the data sent."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"You saved the block.","You saved the block."
"Something went wrong while saving the block.","Something went wrong while saving the block."
"The page has been deleted.","The page has been deleted."
"We can't find a page to delete.","We can't find a page to delete."
"This page no longer exists.","This page no longer exists."
"Edit Page","Редактировать страницу"
"New Page","Новая страница"
"Pages","Страницы"
"Something went wrong while saving the page.","Something went wrong while saving the page."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"Page Title","Заголовок страницы"
"To apply changes you should fill in hidden required ""%1"" field","To apply changes you should fill in hidden required ""%1"" field"
"You saved the page.","Страница сохранена."
"The directory %1 is not writable by server.","The directory %1 is not writable by server."
"Make sure that static block content does not reference the block itself.","Make sure that static block content does not reference the block itself."
"CMS Block with id ""%1"" does not exist.","CMS Block with id ""%1"" does not exist."
"Enabled by Default","Enabled by Default"
"Disabled by Default","Disabled by Default"
"Disabled Completely","Disabled Completely"
"This identifier is reserved for ""CMS No Route Page"" in configuration.","This identifier is reserved for ""CMS No Route Page"" in configuration."
"This identifier is reserved for ""CMS Home Page"" in configuration.","This identifier is reserved for ""CMS Home Page"" in configuration."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","This identifier is reserved for ""CMS No Cookies Page"" in configuration."
"Could not save the page: %1","Could not save the page: %1"
"CMS Page with id ""%1"" does not exist.","CMS Page with id ""%1"" does not exist."
"Could not delete the page: %1","Could not delete the page: %1"
"A block identifier with the same properties already exists in the selected store.","A block identifier with the same properties already exists in the selected store."
"The page URL key contains capital letters or disallowed symbols.","The page URL key contains capital letters or disallowed symbols."
"The page URL key cannot be made of only numbers.","The page URL key cannot be made of only numbers."
"Please rename the folder using only letters, numbers, underscores and dashes.","Please rename the folder using only letters, numbers, underscores and dashes."
"We found a directory with the same name. Please try another folder name.","We found a directory with the same name. Please try another folder name."
"We cannot create a new directory.","We cannot create a new directory."
"We cannot delete directory %1.","We cannot delete directory %1."
"We can't upload the file right now.","We can't upload the file right now."
