"Attribute Values","Valores de atributo"
"Bulk Images &amp; Price","Imágenes de bulto y precio"
"Create New Attribute","Crear nuevo atributo"
"Select Attributes","Seleccionar atributos"
"Summary","Resumen"
"Choose an Option...","Elegir una opción..."
"This attribute is used in configurable products.","Este atributo se utiliza en artículos configurables."
"The product is already attached.","Este producto ya se ha adjuntado."
"The parent product doesn't have configurable product options.","El producto principal no tiene opciones configurables de producto."
"The child product doesn't have the ""%1"" attribute value. Verify the value and try again.","El producto secundario no tiene el valor de atributo ""%1"". Verifique el valor e intente de nuevo."
"The product with the ""%1"" SKU isn't a configurable product.","El producto con el ""%1"" SKU no es un producto configurable."
"The option that was requested doesn't exist. Verify the entity and try again.","La opción que ha solicitado no existe. Verificar la entidad e inténtelo de nuevo."
"The ""%1"" entity that was requested doesn't exist. Verify the entity and try again.","La entidad ""%1"" solicitada no existe. Verificar la entidad e inténtelo de nuevo."
"The variations from the ""%1"" product can't be deleted.","Las variaciones del producto ""%1"" no se pueden eliminar."
"The option with ""%1"" ID can't be deleted.","La opción con el ID ""%1"" no se puede eliminar."
"Option with id ""%1"" not found","Opción con id ""%1"" no encontrado"
"An error occurred while saving the option. Please try to save again.","Se produjo un error al guardar la opción. Vuelva a intentarlo."
"This is implemented for the ""%1"" configurable product only.","This is implemented for the ""%1"" configurable product only."
"Option attribute ID is not specified.","No se especifica el ID de atributo de opción."
"Option label is not specified.","No se especifica la etiqueta Opción."
"Option values are not specified.","No se especifican valores de opción."
"Value index is not specified for an option.","El índice de valor no se ha especificado para una opción."
"Product with id ""%1"" does not contain required attribute ""%2"".","El producto con ID ""%1"" no contiene el atributo obligatorio ""%2""."
"Products ""%1"" and ""%2"" have the same set of attribute values.","Los productos ""%1"" y ""%2"" tienen el mismo conjunto de atributos."
"You can't add the item to shopping cart.","No puedes añadir el artículo al carrito de la compra."
"You need to choose options for your item.","Tiene que elegir opciones para su ítem."
"Some product variations fields are not valid.","Algunos campos de las variaciones del producto no son válidos."
"Contribution must have attributes specified. Enter attributes and try again.","Los atributos deben estar especificados. Introduzca atributos e inténtelo de nuevo."
"Type %1 is not an instance of %2","Tipo %1 no es una instancia de %2"
"Choose Affected Attribute Set","Elija conjunto de atributo afectado"
"Add configurable attributes to the current Attribute Set","Agregue los atributos configurables a la configuración del atributo actual"
"Confirm","Confirmar"
"New Attribute Set Name","Nuevo nombre de conjunto de atributos"
"Select Associated Product","Seleccione producto asociado"
"Done","Hecho"
"Choose a new product to delete and replace the current product configuration.","Escoja un nuevo producto para eliminar y reemplazar la configuración actual del producto."
"For better results, add attributes and attribute values to your products.","Para mejores resultados, añadir atributos y valores de los atributos de sus productos."
"Configurable products allow customers to choose options (Ex: shirt color). You need to create a simple product for each configuration (Ex: a product for each color).","Los productos configurables permiten a los clientes a elegir opciones (Ex: color de la camisa). Es necesario, crear un producto simple para cada configuración (Ex: un producto para cada color)."
"Configurations cannot be created for a standard product with downloadable files. To create configurations, first remove all downloadable files.","Las configuraciones no se puede crear para un producto estándar con archivos descargables. Para crear configuraciones, primero eliminar todos los archivos descargables."
"Add Products Manually","Agregue manualmente los productos"
"Create Configurations","Crear configuraciones"
"Current Variations","Variaciones de Actuales"
"Image","Imagen"
"Name","Nombre"
"SKU","SKU"
"Price","Precio"
"Quantity","Cantidad"
"Weight","Peso"
"Status","Estatus"
"Attributes","Atributos"
"Actions","Acciones"
"Custom options with price type ""percent"" is not available for configurable product.","Las opciones personalizadas con el tipo de precio ""porcentaje"" no están disponibles para productos configurables."
"This group contains attributes used in configurable products. Please move these attributes to another group and try again.","Este grupo contiene atributos utilizados en artículos configurables. Páselos a otro grupo y vuelva a intentarlo."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Este atributo se utiliza en artículos configurables. No es posible eliminarlo del conjunto de atributos."
"Associated Products","Artículos asociados"
"Step 2: Attribute Values","Paso 2: Valores de atributo"
"Select values from each attribute to include in this product. Each unique combination of values creates a unique product SKU.","Seleccione valores de cada atributo para incluir en este producto. Cada combinación única de valores crea un SKU de producto único."
"Sort Variations","Organizar variaciones"
"Options","Options"
"Select All","Seleccionar Todo"
"Deselect All","Anular todas las selecciones"
"Remove Attribute","Eliminar atributo"
"Save Option","Opción de guardar"
"Remove Option","Quitar la opción"
"Create New Value","Crear un nuevo valor"
"Step 3: Bulk Images, Price and Quantity","Paso 3: Conjunto de Imágenes, Precio, y Cantidades"
"Based on your selections %1 new products will be created. Use this step to customize images and price for your new products.","Basado en sus selecciones se crearán nuevos productos %1. Utilice este paso para personalizar imágenes y precio de sus nuevos productos."
"Images","Imágenes"
"Apply single set of images to all SKUs","Aplicar un solo conjunto de imágenes a todos los SKU"
"Apply unique images by attribute to each SKU","Aplicar imágenes únicas por atributo a cada SKU"
"Skip image uploading at this time","Omitir subir imagen en esta ocasión"
"Browse Files...","Dateien durchsuchen ..."
"Browse to find or drag image here","Selecciona o arrastra la imagen aquí"
"Remove image","Quitar imagen"
"Hidden","Oculto"
"Alt Text","Texto alternativo"
"Role","Rol"
"Image Size","Tamaño de la imagen"
"{size}","{size}"
"Image Resolution","Resolución de imagen"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","Ocultar de la página de producto"
"Select attribute","Seleccione el atributo"
"Select","Seleccionar"
"Apply single price to all SKUs","Aplicar un solo precio a todos los SKU"
"Apply unique prices by attribute to each SKU","Aplicar imágenes únicas por atributo a cada SKU"
"Skip price at this time","Saltear precio en esta ocasión"
"Apply single quantity to each SKUs","Aplicar una cantidad única a cada SKU"
"Apply unique quantity by attribute to each SKU","Aplicar única cantidad única por cada atributo SKU"
"Skip quantity at this time","Saltear cantidad en esta ocasión"
"Step 1: Select Attributes","Paso 1: Seleccionarlos atributos"
"Selected Attributes:","Atributos seleccionados:"
"Step 4: Summary","Paso 4: Resumen"
"Configurable products allow customers to choose options (Ex: shirt color).
            You need to create a simple product for each configuration (Ex: a product for each color).","Los productos configurables permiten a los clientes a elegir opciones (Ex: color de la camisa). Es necesario, crear un producto simple para cada configuración (Ex: un producto para cada color)."
"Edit Configurations","Editar las configuraciones"
"Upload Image","Subir imagen"
"Upload image","Subir imagen"
"No Image","Sin imagen"
"Choose a different Product","Elige un producto diferente"
"Remove Product","Eliminar artículo"
"Create Product Configurations","Crear configuraciones de productos"
"Cancel","Cancelar"
"As low as","Tan bajo como"
"Regular Price","Precio regular"
"New Product Review","Nueva reseña de producto"
"Here are the products you're about to create.","Estos son los productos que vas a crear."
"You created these products for this configuration.","Ha creado estos productos para esta configuración."
"Disassociated Products","Productos desasociados"
"These products are not associated.","Estos productos no están asociados."
"Disable Product","Deshabilitar Producto"
"Enable Product","Habilitar Producto"
"Incl. Tax","Impuestos incl."
"An attribute has been removed. This attribute will no longer appear in your configurations.","Un atributo se ha eliminado. Este atributo no aparece en las configuraciones."
"Select options for all attributes or remove unused attributes.","Seleccione las opciones para todos los atributos o elimine los atributos no utilizados."
"Choose this option to delete and replace extension data for all past configurations.","Elija esta opción para eliminar y reemplazar datos de extensión para todas las configuraciones pasadas."
"Please select attribute for {section} section.","Por favor, seleccione el atributo para la sección de {section}."
"Please fill in the values for {section} section.","Por favor, rellene los valores de la sección de {section}."
"Please fill-in correct values.","Por favor, complete con valores correctos."
"Please select image(s) for your attribute.","Por favor, seleccione imágen(es) para su atributo."
"Please choose image(s).","Por favor, seleccione imágen(es)."
"We could not detect a size.","No hemos podido detectar un tamaño."
"We don't recognize or support this file extension type.","No reconocemos o soportamos este tipo de extensión de archivo."
"When you remove or add an attribute, we automatically update all configurations and you will need to recreate current configurations manually.","Cuando elimina o agrega un atributo, actualizamos automáticamente todas las configuraciones y deberá volver a crear las configuraciones actuales manualmente."
"Please select attribute(s).","Por favor, seleccione atributo(s)."
"Generate Products","Generar productos"
"Something went wrong.","Algo salió mal."
"Buy %1 for %2 each and","Compre %1 por %2 cada uno y"
"save","guardar"
"Configurable Product Image","Imagen de producto configurable"
"Select...","Seleccionar..."
"ID","ID"
"Thumbnail","Miniatura"
"Attribute Code","Código de atributo"
"Attribute Label","Etiqueta de atributo"
"Required","Requerido"
"System","Gestionar sistema"
"Visible","Visible"
"Scope","Alcance"
"Searchable","Buscable"
"Comparable","Comparable"
"As low as:","Tan bajo como:"
"Save","Guardar"
"Select...","Seleccionar..."
"Status","Estado"
"ID","Núm. Pepperi"
"Thumbnail","Miniatura"
"Name","Nombre"
"SKU","SKU"
"Price","Precio"
"Quantity","Cantidad"
"Weight","Peso"
"Attributes","Atributos"
"Attribute Code","Código de atributo"
"Attribute Label","Etiqueta de atributo"
"Required","Requerido"
"System","System"
"Visible","Visible"
"Scope","Alcance"
"Searchable","Buscable"
"Comparable","Comparable"
"Page not found.","Pagina no encontrada."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Gracias por contactarnos con sus comentarios y preguntas. Pronto le responderemos."
"An error occurred while processing your form. Please try again later.","Se produjo un error al procesar su formulario. Por favor, inténtelo de nuevo más tarde."
"Enter the Name and try again.","Actualiza el nombre y vuelve a intentarlo."
"Enter the comment and try again.","Introduzca un comentario e inténtelo de nuevo."
"The email address is invalid. Verify the email address and try again.","La dirección de correo electrónico es inválida. Verificar la dirección de correo electrónico y vuelva a intentarlo."
"* Required Fields","* Campos obligatorios"
"Write Us","Escríbenos"
"Jot us a note and we’ll get back to you as quickly as possible.","Tomamos nota y te responderemos lo antes posible."
"Name","Nombre"
"Email","Correo electrónico"
"Phone Number","Número de teléfono"
"What’s on your mind?","¿Qué está en su mente?"
"Submit","Enviar"
"Contact Form","Formulario de contacto"
"Phone","Teléfono"
"Message","Mensaje"
"Contacts Section","Sección de contacto"
"Contacts","Contactos"
"Contact Us","Contacte con nosotros"
"Enable Contact Us","Habilitar contacte con nosotros"
"Email Options","Opciones de correo electrónico"
"Send Emails To","Enviar correos electrónicos a"
"Email Sender","Correo electrónico Remitente"
"Email Template","Correo electrónico Plantilla"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegido basado en suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"Invalid domain name: %1","Nombre de dominio no válido: %1"
"Invalid cookie lifetime: %1","Duración de cookie inválida: %1"
"Invalid cookie path","Ruta de cookie no válida"
"We use cookies to make your experience better.","Utilizamos cookies para mejorar tu experiencia."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Para cumplir con la nueva directiva sobre privacidad electrónica, necesitamos el consentimiento para utilizar tus cookies."
"<a href=""%1"">Learn more</a>.","<a href=""%1""> Aprende más</a>."
"Allow Cookies","Permitir Cookies"
"Default Cookie Settings","Opciones de Cookies por defecto"
"Cookie Lifetime","Ciclo de vida de la cookie"
"Cookie Path","Ruta de las cookies"
"Cookie Domain","Dominio de la cookie"
"Use HTTP Only","Utilizar sólo HTTP"
"Cookie Restriction Mode","Modo restrictivo de la cookie"
"We can't save the cron expression.","No podemos guardar la expresión cron."
"Daily","Diario"
"Weekly","Semanal"
"Monthly","Mensual"
"The ""%1"" cron expression is invalid. Verify and try again.","La expresión de cron ""%1"" no es válida. Verifique y vuelva a intentarlo."
"Invalid cron expression, expecting 'match/modulus': %1","La expresión de cron no es válida, se espera 'match/modulus': %1"
"Invalid cron expression, expecting numeric modulus: %1","Expresión cron inválida, esperando módulo numérico: %1"
"Invalid cron expression, expecting 'from-to' structure: %1","La expresión de cron no es válida, se espera una estructura 'from-to': %1"
"Some error","Algún error"
"Invalid callback: Not_Existed_Class::execute can't be called","Callback invalido: no se puede llamar a Not_Existed_Class::execute"
"Test exception","Excepción de prueba"
"Cron (Scheduled Tasks)","Cron (tareas programadas)"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set. All the times are in minutes.","Para generar URLs correctas durante ejecución cron por favor asegúrese que las URls Web > Secure and Unsecure Base están establecidas explicitamente. Todos los tiempos están en minutos."
"Cron configuration options for group:","Opciones de configuración de cron para el grupo:"
"Generate Schedules Every","Generar programas cada"
"Schedule Ahead for","Programar con anticipación"
"Missed if Not Run Within","Falla si no se ejecuta dentro de"
"History Cleanup Every","Borrar el historial cada"
"Success History Lifetime","Período de validez del historial de ejecuciones correctas"
"Failure History Lifetime","Período de validez del historial de errores"
"Use Separate Process","Usar proceso separado"
"Save Currency Rates","Guardar los Tipos de Cambio"
"Options","Opciones"
"Reset","Restablecer"
"Import","Importar"
"Manage Currency Rates","Gestión de tipos de cambio"
"Import Service","Importdienst"
"Save Currency Symbols","Guardar símbolos de divisas"
"Currency Symbols","Símbolos de moneda"
"Use Standard","Usa predeterminado"
"The Import Service is incorrect. Verify the service and try again.","El Import Service es incorrecto. Verificar el servicio e inténtelo de nuevo."
"The import model can't be initialized. Verify the model and try again.","El modelo de importación no puede ser inicializado. Verificar el modelo y vuelva a intentarlo."
"Click ""Save"" to apply the rates we found.","Haga clic en ""Guardar"" para aplicar las tarifas que encontramos."
"Currency Rates","Tipo de Cambio"
"Please correct the input data for ""%1 => %2"" rate.","Por favor corregir los datos de entrada para la tarifa ""%1 => %2""."
"All valid rates have been saved.","Alle gültigen Kurse wurden gespeichert."
"System","Gestionar sistema"
"You applied the custom currency symbols.","Aplicaste los símbolos de moneda personalizados."
"You must first configure currency options before being able to see currency rates.","Primero debe configurar opciones de monedas disponibles antes de poder ver los tipos de cambio."
"Old rate:","Alter Kurs:"
"Currency","Moneda"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[PÁGINA WEB]"
"[STORE VIEW]","[VISTA DE TIENDA]"
"The current module XML block name is undefined.","El actual nombre del bloque módulo XML está indefinido."
"The current module form model pathname is undefined.","El pathname del modulo de forma actual esta indefinido."
"No","No"
"Yes","Sí"
"Use helper with defined EAV entity.","Usar helper con entidad EAV definida."
"Default EAV Form","Formulario EAV predeterminado"
"Please correct the values for minimum and maximum text length validation rules.","Por favor corrige los valores para las reglas de validación de longitud mínima y máxima de texto."
"Please correct the values for minimum and maximum date validation rules.","Por favor corrige los valores para las reglas de validación de fecha mínima y máxima."
"Text Field","Campo de texto"
"Text Area","Área de texto"
"Multiple Line","Línea múltiple"
"Date","Fecha"
"Dropdown","Lista desplegable"
"Multiple Select","Selección múltiple"
"Yes/No","Sí/No"
"File (attachment)","Archivo (adjunto)"
"Image File","Archivo de imagen"
"Alphanumeric","Alfanumérico"
"Numeric Only","Sólo numérico"
"Alpha Only","Sólo alfanumérico"
"URL","URL"
"Email","Correo electrónico"
"Strip HTML Tags","Eliminar etiquetas HTML"
"Escape HTML Entities","Escapar de entidades HTML"
"Normalize Date","Normalizar la fecha"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","El código del atributo no es válido. Por favor, usa solo letras (a-z), números (0-9) o guion bajo (_) en este campo. El primer carácter debe ser una letra."
"Sign Out","Cerrar sesión"
"Sign In","Iniciar sesión"
"You are subscribed to our newsletter.","Estás suscrito a la ""Suscripción general""."
"You aren't subscribed to our newsletter.","No estás suscrito a la 'Suscripción general'."
"You have not set a default shipping address.","No ha establecido una dirección de envío predeterminada."
"You have not set a default billing address.","No ha establecido una dirección de facturación predeterminada."
"Address Book","Libreta de direcciones"
"Edit Address","Editar dirección"
"Add New Address","Agregar nueva dirección"
"region","región"
"Create Order","Crear pedido"
"Save Customer","Guardar cliente"
"Delete Customer","Eliminar cliente"
"Reset Password","Restablecer contraseña"
"Are you sure you want to revoke the customer's tokens?","¿Está seguro que desea revocar el token del cliente?"
"Force Sign-In","Forzar inicio de sesión"
"New Customer","Nuevo cliente"
"Save and Continue Edit","Guardar y continuar editar"
"Back","Volver"
"Reset","Restablecer"
"ID","ID"
"Product","Producto"
"SKU","SKU"
"Quantity","Cantidad"
"Price","Precio"
"Total","Total"
"Action","Acción"
"Configure","Configurar"
"Delete","Borrar"
"Shopping Cart from %1","Carrito de la compra de %1"
"Newsletter","Boletín de noticias"
"Newsletter Information","Boletín Información"
"Subscribed to Newsletter","Suscrito al boletín de noticias"
"Last Date Subscribed","Última fecha de suscripción"
"Last Date Unsubscribed","Última fecha de abandonar suscripción"
"No Newsletter Found","No boletín encontrado"
"Start date","Fecha de inicio"
"End Date","Fecha de fin"
"Receive Date","Fecha de recepción"
"Subject","Asunto"
"Status","Estatus"
"Sent","Enviado"
"Cancel","Cancelar"
"Not Sent","No enviado"
"Sending","Enviando"
"Paused","Pausado"
"View","Vista"
"Unknown","Desconocido"
"Order","Pedido"
"Purchased","Comprada"
"Bill-to Name","Nombre de facturación"
"Ship-to Name","Nombre de envío"
"Order Total","Total del Pedido"
"Purchase Point","Punto de compra"
"Customer View","Vista cliente"
"There are no items in customer's shopping cart.","No hay productos en la cesta de la compra del cliente."
"Qty","Cantidad"
"Confirmed","Confirmado"
"Confirmation Required","Confirmación necesaria"
"Confirmation Not Required","Confirmación no necesaria"
"Indeterminate","Indeterminado"
"The customer does not have default billing address.","El cliente no tiene una dirección de facturación predeterminada."
"Offline","Fuera de línea"
"Online","En línea"
"Never","Nunca"
"Unlocked","Desbloqueado"
"Locked","Bloqueado"
"Deleted Stores","Tiendas eliminadas"
"Add Locale","Agregar configuración regional"
"Add Date","Añadir fecha"
"Days in Wish List","Días en favoritos"
"Unlock","Desbloquear"
"No","No"
"Yes","Sí"
"Delete File","Eliminar archivo"
"Download","Descarga"
"Delete Image","Eliminar imagen"
"View Full Size","Originalgröße ansehen"
"All countries","Todos los países"
"Customer Groups","Grupos de cliente"
"Add New Customer Group","Nuevo grupo de clientes"
"Save Customer Group","Guardar grupo de clientes"
"Delete Customer Group","Borrar grupo de clientes"
"New Customer Group","Nuevo grupo de clientes"
"Edit Customer Group ""%1""","Editar grupo del cliente ""%1"""
"Group Information","Información del grupo"
"Group Name","Nombre del grupo"
"Maximum length must be less then %1 characters.","Longitud máxima debe ser menor de %1 caracteres."
"Tax Class","Clase impositiva"
"The customer is now assigned to Customer Group %s.","El cliente está ahora asignado al grupo de clientes %s."
"Would you like to change the Customer Group for this order?","¿Desea cambiar el grupo de clientes para este pedido?"
"The VAT ID is valid.","El ID de IVA es válido."
"The VAT ID entered (%s) is not a valid VAT ID.","El ID de IVA introducido (%s) no es un ID de IVA válido."
"The VAT ID is valid. The current Customer Group will be used.","El ID de IVA es válido. Se utilizará el grupo de cliente actual."
"The VAT ID is valid but no Customer Group is assigned for it.","El identificador de IVA es válido pero no se encuentra asignado a ningún grupo de Clientes."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Basado en el ID del IVA, el cliente pertenece al grupo de clientes %s."
"Something went wrong while validating the VAT ID.","Se produjo un error al validar la ID del IVA."
"The customer would belong to Customer Group %s.","El cliente pertenecería al grupo de clientes %s."
"There was an error detecting Customer Group.","Hubo un error al detectar Grupo de Clientes."
"Validate VAT Number","Validar número de IVA"
"Customer Login","Inicio de sesión de cliente"
"Create New Customer Account","Crear nueva cuenta de cliente"
"Date of Birth","Fecha de nacimiento"
"Bad request.","Solicitud incorrecta."
"This confirmation key is invalid or has expired.","Esta clave de confirmación no es válido o ha caducado."
"There was an error confirming the account","Hubo un problema al confirmar la cuenta"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Si eres un cliente registrado de IVA, por favor haga clic <a href=""%1""> aquí</a> para ingresar su dirección de envío para el adecuado cálculo del IVA."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Si eres un cliente registrado de IVA, por favor haga clic <a href=""%1""> aquí</a> para ingresar su dirección de envío para el adecuado cálculo del IVA."
"Thank you for registering with %1.","Gracias por registrarse en %1."
"Please check your email for confirmation key.","Por favor, revise su correo electrónico y busque la clave de confirmación."
"This email does not require confirmation.","Este mensaje de correo electrónico no requiere confirmación."
"Wrong email.","Se especificó una dirección de correo electrónico incorrecta."
"Your password reset link has expired.","Su enlace de restablecimiento de contraseña ha caducado."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Debes confirmar tu cuenta. Por favor compruebe su correo electrónico para el enlace de confirmación o <a href=""%1"">haga clic aquí</a> para un nuevo enlace."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Ya existe una cuenta con esta dirección de correo electrónico. Si está seguro de que es su dirección de correo electrónico, <a href=""%1"">haga clic aquí</a> para obtener su contraseña y acceder a su cuenta."
"We can't save the customer.","No se puede guardar al cliente."
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coinciden."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Si eres un cliente registrado de IVA, por favor haga clic <a href=""%1""> aquí</a> para ingresar su dirección de envío para el adecuado cálculo del IVA."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Si eres un cliente registrado de IVA, por favor haga clic <a href=""%1""> aquí</a> para ingresar su dirección de envío para el adecuado cálculo del IVA."
"Account Information","Información de la cuenta"
"You saved the account information.","Ha guardado la información de cuenta."
"Password confirmation doesn't match entered password.","La confirmación de la contraseña no coincide con la contraseña introducida."
"The password doesn't match this account. Verify the password and try again.","La contraseña no coincide con esta cuenta. Verifique la contraseña y vuelva a intentarlo."
"The email address is incorrect. Verify the email address and try again.","La dirección de correo electrónico es incorrecta. Verificar la dirección de correo electrónico y vuelva a intentarlo."
"We're unable to send the password reset email.","No se puede enviar el correo electrónico para restablecer la contraseña."
"Please enter your email.","Por favor, introduzca su dirección de correo electrónico."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Si hay una cuenta asociada a %1 recibirá un correo electrónico con un enlace para restablecer tu contraseña."
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Esta cuenta no está confirmada. <a href=""%1""> haga clic aquí</a> para enviar correo electrónico de confirmación."
"An unspecified error occurred. Please contact us for assistance.","Se produjo un error no especificado. Póngase en contacto con nosotros para obtener ayuda."
"A login and a password are required.","Se requieren nombre de usuario y contraseña."
"New Password and Confirm New Password values didn't match.","Los valores de ""Nueva contraseña"" y ""confirmar nueva contraseña"" no coinciden."
"Please enter a new password.","Por favor, introduzca una nueva contraseña."
"You updated your password.","Actualizó su contraseña."
"Something went wrong while saving the new password.","Algo salió mal al guardar la nueva contraseña."
"You deleted the address.","Borró la dirección."
"We can't delete the address right now.","No se puede eliminar la dirección en este momento."
"You saved the address.","Guardó la dirección."
"We can't save the address.","No se puede guardar la dirección."
"The customer ID isn't defined.","No se ha establecido la Id. del cliente."
"The quote items are incorrect. Verify the quote items and try again.","La oración no es encontrada. Verificar e intentar de nuevo."
"You have revoked the customer's tokens.","Revocaste los tokens del cliente."
"We can't find a customer to revoke.","No se puede encontrar un cliente para revocar."
"Something went wrong while saving file.","Algo salió mal al guardar el archivo."
"You deleted the customer group.","Ha eliminado el grupo de clientes."
"The customer group no longer exists.","El grupo de clientes, ya no existe."
"Customers","Clientes"
"New Group","Nuevo grupo"
"New Customer Groups","Nuevos grupos de clientes"
"Edit Group","Editar grupo"
"Edit Customer Groups","Editar grupos del cliente"
"You saved the customer group.","Guardaste el grupo de clientes."
"Please select customer(s).","Por favor seleccione cliente (s)."
"Customer could not be deleted.","No se pudo eliminar al cliente."
"You deleted the customer.","Ha eliminado el cliente."
"Something went wrong while editing the customer.","Algo salió mal durante la edición del cliente."
"Manage Customers","Gestionar clientes"
"Please correct the data sent.","Por favor corrija los datos enviados."
"A total of %1 record(s) were updated.","Un total de %1 registro(s) fueron actualizados."
"A total of %1 record(s) were deleted.","Un total de %1 registros fueron eliminados."
"The customer will receive an email with a link to reset password.","El cliente recibirá un correo electrónico con un enlace para restablecer contraseña."
"Something went wrong while resetting customer password.","Algo salió mal al restablecer la contraseña de cliente."
"You saved the customer.","Ha guardado el cliente."
"Something went wrong while saving the customer.","Algo salió mal al guardar el cliente."
"Page not found.","Página no encontrada."
"Customer has been unlocked successfully.","Cliente ha sido desbloqueado con éxito."
"Online Customers","Clientes en línea"
"Customers Now Online","Los clientes ahora en línea"
"Please define Wish List item ID.","Defina el ID del artículo de la Lista de Deseos."
"Please load Wish List item.","Por favor cargar elemento de la lista de deseos."
"Login successful.","Inicio de sesión exitoso."
"Invalid login or password.","Inicio de Sesión o Contraseña Inválida."
"The ""%1"" section source isn't supported.","La fuente de la sección de ""%1"" no es compatible."
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 no extiende a \Magento\Customer\CustomerData\SectionSourceInterface"
"Confirmation isn't needed.","No es necesaria confirmación."
"The account is already active.","Cuenta ya activa."
"The confirmation token is invalid. Verify the token and try again.","El token de confirmación no es válido. Verifique el token y vuelva a intentarlo."
"The account is locked.","Tu cuenta está bloqueada."
"This account isn't confirmed. Verify and try again.","Esta cuenta no está confirmada. Verifique y vuelva a intentarlo."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Valor no válido de ""%value"" para el campo %fieldName. Valores posibles:%template1 o %template2."
"Please enter a password with at most %1 characters.","Por favor, introduzca una contraseña con un máximo de 1% caracteres."
"The password needs at least %1 characters. Create a new password and try again.","La contraseña necesita al menos %1 caracteres. Crear una nueva contraseña y vuelva a intentarlo."
"The password can't begin or end with a space. Verify the password and try again.","La contraseña no puede comenzar o terminar con un espacio. Verifique la contraseña y vuelva a intentarlo."
"The password can't be the same as the email address. Create a new password and try again.","La contraseña no puede ser la misma que la dirección de correo electrónico. Crear una nueva contraseña y vuelva a intentarlo."
"This customer already exists in this store.","Este cliente ya existe en esta tienda."
"A customer with the same email address already exists in an associated website.","Un cliente con el mismo correo electrónico ya existe en un sitio web asociado."
"Invalid value of ""%value"" provided for the %fieldName field.","Valor inválido de ""%value"" proporcionado para el campo %fieldName."
"""%fieldName"" is required. Enter and try again.","Se requiere ""%fieldName"". Introducelo y prueba de nuevo."
"The password token is mismatched. Reset and try again.","La contraseña no coincide. Pruebe de nuevo."
"The password token is expired. Reset and try again.","La contraseña ha expirada. Respeta y pruebe de nuevo."
"The transactional account email type is incorrect. Verify and try again.","El email de la cuenta es incorrecto. Compruebe e intente de nuevo."
"""%1"" is a required value.","""%1"" es un valor necesario."
"Global","Global"
"Per Website","Por sitio web"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","No podemos compartir cuentas de clientes a nivel global cuando las cuentas comparten direcciones de correo electrónico idénticos en más de una página web."
"Billing Address","Dirección de facturación"
"Shipping Address","Dirección de envío"
"A valid password reset token is missing. Enter and try again.","La contraseña de reinicio no se encuentra. Introduce y prueba de nuevo."
"Admin","Administrar"
"ALL GROUPS","TODOS LOS GRUPOS"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Sin entidad con %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","El archivo no puede guardarse en la carpeta de destino."
"Unable to create directory %1.","No se puede crear el directorio: %1."
"Destination folder is not writable or does not exists.","La carpeta de destino no existe o no se puede escribir en ella."
"Something went wrong while saving the file.","Algo salió mal al guardar el archivo."
"Attribute object is undefined","Objeto de campo indefinido"
"""%1"" invalid type entered.","""%1"" tipo introducido inválido."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contiene caracteres que no son números ni letras."
"""%1"" is an empty string.","""%1"" es una cadena vacía."
"""%1"" contains non-numeric characters.","""%1"" contiene caracteres no numéricos."
"""%1"" contains non-alphabetic characters.","""%1"" contiene caracteres no alfabéticos."
"""%1"" is not a valid email address.","""%1"" no es una dirección válida de email."
"""%1"" is not a valid hostname.","""%1"" no es un nombre de host válido."
"""%1"" uses too many characters.","""%1"" utiliza demasiados caracteres."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' se parece a una dirección IP, que no es un formato aceptable."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' parece ser un nombre de host DNS, pero contiene un guión en una posición no válida."
